NQO2	TP53
TP53	CREBBP
TP53	EP300
TP53	HIF1A
TP53	PML
PML	ARNT
PML	JUN
TP53	TFAP2A
PML	FOS
TP53	CREB1
EP300	STAT3
EP300	STAT1
TP53	SP1
EP300	JUND
TP53	ETS1
TP53	HTT
HTT	ETV4
TP53	SMAD3
EP300	SMAD4
CSNK2A1	PML
PML	CREBBP
CSNK2A1	BRCA1
BRCA1	EP300
BRCA1	HIF1A
CSNK2A1	JUN
BRCA1	TFAP2A
BRCA1	CREB1
CSNK2A1	RELA
RELA	STAT3
CSNK2A1	ARRB2
ARRB2	STAT1
PML	SP1
CSNK2A1	COPS5
COPS5	JUND
BRCA1	ETS1
PML	HTT
BRCA1	SMAD3
CSNK2A1	DAXX
DAXX	SMAD4
PTGS1	CAV1
CAV1	CTNNB1
CTNNB1	CREBBP
PTGS1	PTGS2
PTGS2	EP300
CTNNB1	HIF1A
EP300	ARNT
CAV1	CSK
CSK	JUN
CAV1	PPARG
PPARG	TFAP2A
EP300	FOS
CAV1	PPP1CA
PPP1CA	CREB1
CAV1	EGFR
EGFR	STAT3
EGFR	STAT1
CTNNB1	SP1
CAV1	MAPK1
MAPK1	JUND
EP300	ETS1
CAV1	SMAD2
SMAD2	ETV4
MAPK1	SMAD3
CAV1	AR
AR	SMAD4
EP300	CREBBP
EP300	HIF1A
EP300	JUN
EP300	TFAP2A
EP300	CREB1
EP300	SP1
EP300	TP63
TP63	ETV4
EP300	SMAD3
ELK1	CCND2
MAPK8	JUN
STAT1	MYD88
CREBBP	ANGPT4
CREBBP	TEK
EP300	ANGPT4
EP300	TEK
HIF1A	ANGPT4
CEBPB	HP
ATF4	HPGD
CREB1	HPGD
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
