NISCH	IRS1
IRS1	ESR1
ESR1	E2F1
E2F1	TFDP2
IRS1	SIRT1
SIRT1	JUN
SIRT1	FOS
IRS1	APP
APP	MAPK8
MAPK8	SPI1
MAPK8	CEBPA
APP	MAPK7
MAPK7	ETS1
ESR1	SP1
IRS1	GRB2
GRB2	BCAR1
BCAR1	E2F2
ESR1	HDAC1
HDAC1	E2F3
IRS1	IGF1R
IGF1R	TP53
APP	ELK1
ELK1	FLI1
APP	MYC
MYC	TFAP2A
GRB2	HTT
HTT	ETV4
APP	HSPA8
HSPA8	ERG
ESR1	RELA
APP	RFX5
RFX5	PPARG
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
IRS1	CBLB
CBLB	MYD88
IRS1	SOCS3
SOCS3	NFKB1
ESR1	HIF1A
SOCS3	TFDP1
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI2	PTCH2
GLI3	GLI1
EP300	EDN1
SOS1	BCL2L1
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
JUN	VEGFC
MYC	VEGFC
NFKB2	TRAF1
FOXO3	CDKN1B
PPARA	CYP4A11
PPARA	ACSBG2
PPARG	CPT1B
RXRA	APOA5
RXRA	SCP2
RXRB	GK
RXRB	ACADL
RXRB	APOA2
RXRG	NR1H3
RFXANK	HLA-DOA
MYB	CDK1
ETS2	CDK1
ETS1	CDKN1A
FLI1	CDKN1A
SP1	EGFR
MYC	EIF4E
NFKB1	ELF3
RELA	ELF3
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
SP1	GYPC
NFIC	HBA2
POU2F1	HIST2H2BE
RELA	IL2
SP1	SPN
ETS2	SPP1
JUN	SPP1
CEBPA	TF
ESR1	TFF1
