HTR2A	CBL
CBL	HSPA8
HSPA8	ERG
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NFIC
GRB2	HTT
HTT	ETV4
CBL	CTNNB1
CTNNB1	SP1
CBL	HSPA4
HSPA4	NFKB1
CBL	SMAD3
SMAD3	JUN
GRB2	EP300
EP300	EGR1
HSPA8	POU2F1
DRD2	CALM1
CALM1	HSPA4
HSPA4	ERG
CALM1	HSP90AA1
DRD2	FLNA
FLNA	REL
REL	ATXN1
ATXN1	ETV4
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
REL	NFKB1
FLNA	RBM39
RBM39	JUN
CDKN2A	EGR1
FLNA	LMNA
LMNA	LMNB1
LMNB1	POU2F1
DRD3	RDX
RDX	HSPA4
DRD3	EPB41L1
EPB41L1	COPS3
COPS3	HSP90AA1
COPS3	RFWD2
RFWD2	ETV4
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
EPB41L1	COPS5
COPS5	NFKB1
COPS5	JUN
GIPC1	OGT
OGT	RELA
RELA	EGR1
RELA	POU2F1
DRD4	ARRB2
ARRB2	HSPA8
DRD4	GRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	XRCC6
XRCC6	POU2F1
ADRA1B	AP2M1
AP2M1	HSPA8
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSPA8	HTT
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	AP1G1
AP1G1	JUN
HTR1D	HTR1B
HTR1B	MDFI
MDFI	VHL
VHL	HSPA8
VHL	HSP90AA1
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD2
SMAD2	ETV4
VHL	SP1
MDFI	KAT5
KAT5	EP300
MDFI	PIN1
PIN1	JUN
KAT5	BRCA1
BRCA1	POU2F1
ADRA2A	UCHL1
UCHL1	HSPA8
UCHL1	HSP90AA1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	HTT
UCHL1	CTNNB1
UCHL1	COPS5
ITCH	JUN
UCHL1	TP53
TP53	EGR1
ADRA2B	UCHL1
UCHL1	UBE2I
UBE2I	TP63
TP63	ETV4
UBE2I	JUN
ADRA2C	UCHL1
HTR2C	CALM1
HTR2C	DLG4
DLG4	MDM2
MDM2	RFWD2
CALM1	ESR1
ESR1	SP1
CALM1	DCUN1D1
DCUN1D1	NFKB1
MDM2	JUN
DLG4	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
DLG4	HGS
HGS	HSPA8
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	HSPA8
YWHAQ	SMURF1
SMURF1	NFIC
WWP2	SMAD3
SMAD3	SP1
YWHAQ	E2F1
E2F1	NFKB1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
YWHAQ	PSMA3
PSMA3	EGR1
YWHAQ	LMNB1
DRD1	RANBP9
RANBP9	APP
APP	HSPA8
RANBP9	ESR1
ESR1	SMURF1
ESR1	SMAD2
RANBP9	NR3C1
NR3C1	NFKB1
NR3C1	JUN
ESR1	EP300
NR3C1	POU2F1
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
ERG	VIM
ETV4	VIM
