HPGDS	ARRDC3
ARRDC3	ITCH
ITCH	TP53
ARRDC3	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	ATF2
ARRB2	NFKBIA
NFKBIA	ATF4
ITCH	JUN
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
ITCH	PTCH1
PTCH1	ATF6B
ARRDC3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	XRCC5
XRCC5	BRCA1
MAPK1	SP1
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	CDK3
CDK3	PPARA
ARRB2	HSPA5
HSPA5	EP300
EP300	USF2
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
ARRB2	SFPQ
SFPQ	SP3
ARRB2	NPM1
NPM1	TFAP2A
TRIM28	MYB
ARRB2	CSK
CSK	CREBBP
ARRB2	CAPN1
CAPN1	HIF1A
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
NEDD4	PPARG
ARRB2	YWHAQ
YWHAQ	E2F1
ADRB2	SHMT2
SHMT2	E2F2
TRIM28	E2F3
TP53	ETS2
ARRB2	PTGES3
PTGES3	NR3C2
AKT1	RARA
ARRB2	STAT1
ARRB2	IGF1R
IGF1R	ESR1
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	MAP2K4
MAP2K4	MAPK8
MAPK8	PAX2
C1QBP	CEBPA
ADRB2	STAT3
ARRB2	POLR2E
POLR2E	FOS
MAPK1	RXRA
PPARG	RXRB
PPARG	RXRG
MAPK1	STAT5A
ARRDC3	HGS
HGS	INSR
INSR	STAT5B
STAT1	STAT2
ADRB2	STAT4
ARRB2	EEF1A1
EEF1A1	STAT6
ARRDC3	WWP1
WWP1	SMAD4
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
CREB3L1	CRH
GLI3	WNT4
GLI3	BMP2
ARNTL	NR1D1
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ELK1	BIRC2
ELK1	BIRC3
FOS	MMP9
RELA	IL6
RELA	MMP9
RELA	TNF
CREBBP	GAPDH
CREBBP	PFKL
CREBBP	PGF
CREBBP	PGK1
EP300	GAPDH
EP300	PFKL
EP300	PGF
EP300	PGK1
HIF1A	GAPDH
ARNT	PFKFB4
TEAD1	BIRC2
TEAD1	CCND3
TEAD3	MYC
TEAD2	NKD1
STAT4	SOCS2
STAT4	CCND3
STAT5A	SOCS2
STAT5B	SOCS1
STAT5B	CCND2
STAT6	CCND1
PAX6	PDX1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
ETS1	VEGFC
FOS	FIGF
FOXO3	G6PC2
ATF4	MCL1
PPARD	CPT1A
PPARD	FABP3
RXRA	CYP4A11
RXRA	CYP8B1
RXRB	MMP1
NFKB1	IL18
NFYA	HLA-DOB
NFYA	HLA-DRB3
MAPK1	IL12B
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DOA
RFXAP	HLA-DOB
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
E2F1	APAF1
TP53	APCS
USF1	APEX1
EGR1	APOA1
TFAP2A	CCNB1
USF2	CCNB1
CREB1	CCND1
CREM	CCND1
POU2F1	CCND1
SP2	CCND1
SP4	CCND1
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
POU2F1	CD79B
SP3	DKC1
ETS1	DNTT
EGR1	EGFR
ESR1	EGFR
ESR2	EGFR
STAT1	EGFR
MYC	EIF4E
ATF1	ERBB2
CREB1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
RARA	GADD45B
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
PPARG	LIPA
USF1	LIPC
RARB	MIF
RARG	MIF
CEBPA	MMP11
ETV4	MMP2
FLI1	MMP2
ETS1	MMP3
ETV4	MMP3
FLI1	MMP3
FOS	MMP3
NFKB1	MMP3
RELA	MMP3
ETV4	MMP9
FLI1	MMP9
PPARG	MMP9
CEBPE	MYB
EGR1	MYB
BCL6	NFKB1
CEBPB	NFKB1
SPI1	NFKB1
JUND	PLAT
EGR1	TFPI2
NFKB1	TFPI2
MYC	TP53
POU2F1	VWF
SMAD4	ZFP36
