HTR2A	CBL
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	MAPK8
MAPK8	MYC
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	YWHAZ
YWHAZ	TP53
EP300	USF2
CBL	CTNNB1
CTNNB1	SP1
CBL	MAPK14
MAPK14	ATF6
CTNNB1	HIF1A
CTNNB1	CREBBP
EP300	ARNT
CTNNB1	FOXO3
GRB2	HSP90AA1
HSP90AA1	PPARA
CTNNB1	PPARG
CBL	SMAD3
SMAD3	JUN
CBL	EGFR
EGFR	STAT3
EGFR	STAT5A
EGFR	STAT5B
EGFR	STAT1
EGFR	STAT2
SMAD3	FHL1
FHL1	STAT4
CBL	EEF1A1
EEF1A1	STAT6
EP300	ETS1
CBL	ABL1
ABL1	CREB1
HSP90AA1	NFIC
CTNNB1	ESR1
SMAD3	CEBPA
SMAD3	E2F4
CBL	BAG1
BAG1	RARA
SMAD3	FOS
SMAD3	RUNX1
CTNNB1	HDAC1
HDAC1	RUNX1T1
EP300	ATF4
HSPA8	POU2F1
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
CTNNB1	BRCA1
BRCA1	FLI1
CTNNB1	PPARD
KCNH2	YWHAE
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	HSPA8
KCNH2	HSP90AA1
HSP90AA1	MYC
YWHAE	NPM1
NPM1	TFAP2A
HSPA8	TP53
RELA	USF2
HSP90AA1	SP1
YWHAE	MAPK14
HSP90AA1	HIF1A
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	ARNT
YWHAE	XPO1
XPO1	PPARG
YWHAE	ABL1
ABL1	JUN
HSP90AA1	STAT3
HSPA8	ESR1
ESR1	STAT5A
HSPA8	NMI
NMI	STAT5B
XPO1	STAT1
HSP90AA1	STAT2
YWHAE	YWHAQ
YWHAQ	TRIM28
TRIM28	STAT4
YWHAE	USP8
USP8	STAT6
TP53	ETS1
KCNH2	NEDD4L
NEDD4L	SMAD3
YWHAE	C1QBP
C1QBP	CEBPA
XPO1	E2F4
HSPA8	UBE3A
UBE3A	RARA
ABL1	FOS
KCNH2	STUB1
STUB1	RUNX1
YWHAE	KPNB1
KPNB1	RUNX1T1
YWHAE	SHMT2
SHMT2	ATF4
RELA	RXRA
HSPA8	FLYWCH2
FLYWCH2	RXRB
PPARA	RXRG
HSP90AA1	BRCA1
HSP90AA1	PPARD
RARA	JUP
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
RUNX1	JUP
RUNX1T1	JUP
GLI3	PTCH1
ARNTL	BHLHE40
TCF7	BIRC5
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
RBPJ	FCER2
CTNNB1	CCND3
ATF2	IL8
NFKB1	TNF
RELA	IL6
CREBBP	CDKN1B
CREBBP	SERPINE1
CREBBP	PFKL
EP300	CDKN1B
EP300	SERPINE1
EP300	PFKL
HIF1A	CDKN1B
HIF1A	SERPINE1
TEAD1	BIRC2
TEAD1	SOX2
TEAD1	CCND3
TEAD4	MYC
TEAD3	CTGF
TEAD3	MYC
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
TEAD2	NKD1
SMAD4	SLC2A1
STAT5A	SOCS2
STAT6	CCND1
CREBBP	MITF
CREB3L4	MITF
MITF	TYRP1
LEF1	MITF
RELA	TRAF2
PIK3CG	AKT3
PIK3R3	AKT3
NFKB1	FIGF
NFKB1	VEGFC
FOS	PGF
JUN	MMP2
MYC	VEGFC
FOXO3	CDKN1B
CREB3L2	BCL2
PPARA	ACSBG2
PPARD	ANGPTL4
RXRA	APOA5
RXRA	FABP1
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA8
NFYA	CD74
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
MAPK3	IL23A
MAPK3	TNF
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL6
MAPK10	IL1B
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
RFXANK	HLA-DMA
FLI1	POLR2A
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
ESR1	APOE
TP53	CAV1
REL	F3
RELA	F3
CEBPB	F8
NFKB1	F8
AR	F9
CREB1	GH2
NFIC	GH2
POU2F1	HIST2H2BE
FOS	HLA-DRA
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
SPI1	IL1B
ESR2	JUN
ETS2	JUN
JUN	JUN
POU2F2	MYC
MYBL1	NCL
BCL6	NFKB1
CEBPB	NFKB1
SPI1	NFKB1
JUN	NFKB2
SP1	NFKB2
JUN	TFPI2
E2F4	TOP1
NFIC	VWF
