DRD1	RANBP9
RANBP9	ESR1
ESR1	TP53
RANBP9	APP
APP	MYC
RANBP9	NR3C1
NR3C1	NFKB1
ESR1	CREBBP
ESR1	EP300
ESR1	HIF1A
EP300	ARNT
RANBP9	UBE2I
UBE2I	PPARA
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	TP53
GNA12	APP
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	NFKB1
MAP3K5	CREBBP
HSP90AA1	HIF1A
HSP90AA1	ARNT
HSP90AA1	PPARA
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
DRD2	EPB41L1
EPB41L1	APP
FLNA	REL
REL	NFKB1
REL	CREBBP
REL	EP300
EPB41L1	COPS5
COPS5	HIF1A
DRD2	CALM1
CALM1	HSP90AA1
ADRA2A	UCHL1
UCHL1	TP53
UCHL1	CDK4
CDK4	MYC
UCHL1	COPS5
COPS5	NFKB1
UCHL1	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
UCHL1	HSP90AA1
UCHL1	UBE2I
HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	MAPK8
MAPK8	MYC
CBL	HSPA4
HSPA4	NFKB1
CBL	CTNNB1
CBL	GRB2
GRB2	EP300
GRB2	HSP90AA1
GLI3	PTCH1
ELK1	CCND1
NFATC2	TNF
CREB3L2	PCNA
CREBBP	LDHA
CREBBP	SLC2A1
EP300	LDHA
EP300	SLC2A1
HIF1A	LDHA
SP1	ALDH3A1
SP1	ALDOA
CREB1	GH2
NFIC	GH2
JUN	TFPI2
