AKR1D1	SIRT1
SIRT1	TP53
SIRT1	RB1
RB1	PAX2
SIRT1	RELA
SIRT1	STAT3
STAT3	HIF1A
SIRT1	HDAC2
HDAC2	PPARD
SIRT1	JUN
STAT3	NFKB1
SIRT1	ESR1
ESR1	CREBBP
STAT3	EP300
RB1	ARNT
RELA	EGR1
SIRT1	PPARA
SIRT1	UBE2I
UBE2I	RXRA
PPARA	RXRB
PPARA	RXRG
SIRT1	SMAD7
SMAD7	YAP1
STAT3	SP1
RB1	MYC
STAT3	STAT1
CREBBP	ALDOA
CREBBP	HK1
CREBBP	SERPINE1
CREBBP	PFKL
EP300	ALDOA
EP300	HK1
EP300	SERPINE1
EP300	PFKL
HIF1A	ALDOA
HIF1A	HK1
HIF1A	SERPINE1
HIF1A	PFKL
ARNT	ALDOA
ARNT	HK1
ARNT	SERPINE1
ARNT	PFKL
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
YAP1	SERPINE1
YAP1	AXIN1
TP53	SERPINE1
PPARA	ACOX3
PPARD	ILK
PPARD	ACOX3
RXRA	ILK
RXRA	ACOX3
RXRB	ILK
RXRB	ACOX3
RXRG	ILK
RXRG	ACOX3
JUN	ALDOA
SP1	ALDOA
RELA	HDAC2
PPARA	LIPA
PPARD	LIPA
TP53	PLK1
RELA	S100A6
EGR1	SERPINE1
ESR1	SERPINE1
PPARA	SERPINE1
PPARD	SERPINE1
SP1	SERPINE1
MYC	TP53
EGR1	TP53
HIF1A	TP53
JUN	TP53
NFKB1	TP53
PAX2	TP53
STAT1	TP53
TP53	TP53
JUN	TXN
