ADRB1	ARRB2
ARRB2	IGF1R
IGF1R	TP53
ARRB2	MAPK1
MAPK1	SP1
ARRB2	RPA1
RPA1	SMAD3
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	SPTBN1
SPTBN1	SMAD4
ADRB2	TSG101
TSG101	TP53
ADRB2	STAT3
STAT3	SP1
ADRB2	NEDD4
NEDD4	SMAD3
STAT3	NFKB1
STAT3	RELA
STAT3	PML
PML	E2F4
ADRB2	KPNB1
KPNB1	SMAD4
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	PTK2
PTK2	TP53
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
GNAI3	XPO1
XPO1	E2F4
SMAD3	SMAD4
HTR1B	MDFI
MDFI	KAT5
KAT5	TP53
MDFI	VHL
VHL	SP1
MDFI	PIN1
PIN1	SMAD3
KAT5	EP300
EP300	NFKB1
KAT5	RELA
KAT5	BRCA1
BRCA1	E2F4
EP300	SMAD4
MAPK14	CXCL1
STAT5A	SOCS2
STAT6	CCND1
RXRA	SLC27A1
RXRA	LPL
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
NFKB1	FN1
FLI1	FOS
ETS2	FOSL1
JUN	FOSL1
SP1	FOSL1
