AKR1D1	SIRT1
SIRT1	STAT3
STAT3	SP1
SIRT1	TP53
SIRT1	JUN
SIRT1	UBE2I
UBE2I	ETS1
SIRT1	RB1
RB1	PPARG
SIRT1	FOS
FOS	CEBPA
SIRT1	CREB1
STAT3	HIF1A
SIRT1	ESR1
RB1	BRCA1
BRCA1	FLI1
RB1	TFAP2A
ESR1	CREBBP
STAT3	EP300
RB1	ARNT
GLI3	WNT16
CTNNB1	CCND2
MAPK10	SMAD4
CREBBP	PFKFB4
EP300	PFKFB4
MAPK11	IL12A
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
MAPK12	IL1B
JUN	CYP11A1
NFKB1	IER3
SPI1	IL1B
REL	IL2
CEBPD	IL6
NFKB2	IL8
NFKB1	IRF1
CEBPA	ITGA2
JUN	TFF1
