DDC	RELA
RELA	MAPK14
MAPK14	ATF6
RELA	TP53
RELA	HIF1A
RELA	CREBBP
RELA	EP300
EP300	ARNT
RELA	JUN
RELA	STAT3
RELA	NFKB1
EP300	STAT5A
RELA	NR3C1
NR3C1	STAT5B
STAT3	STAT1
EP300	STAT2
JUN	STAT4
STAT3	STAT6
RELA	SMAD3
SMAD3	YAP1
EP300	CREB1
SMAD3	LEF1
RELA	UBC
UBC	DAZAP2
DAZAP2	TCF7
RELA	AR
AR	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
EP300	FOXO3
STAT3	EGFR
EGFR	SOS1
RELA	ESR1
ESR1	SOS2
CREBBP	ELK1
RELA	SP1
EP300	ETS1
RELA	POU2F1
EP300	Cebpb
Cebpb	NFIC
STAT3	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
EP300	TFAP2A
RELA	REL
EP300	MYC
RELA	ATF4
ATF6B	FOS
ATF4	FOS
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7L2	CCND1
JUN	CXCL1
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
NFKB1	TNF
MAPK10	JUN
MAPK10	SMAD4
RELA	IL6
CREBBP	SERPINE1
CREBBP	PFKFB3
CREBBP	PFKFB4
CREBBP	PFKL
EP300	SERPINE1
EP300	PFKFB3
EP300	PFKFB4
EP300	PFKL
HIF1A	SERPINE1
HIF1A	PFKFB3
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
RELA	PTGS2
PIK3CD	AKT3
PIK3R1	PDPK1
NFKB1	FIGF
MAPK11	IL6
MAPK9	NOS2
RFXAP	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB5
MAPK12	IL1A
MAPK12	IL1B
LEF1	MMP7
LEF1	PPARD
EGR1	ABCB1
EGR2	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
E2F4	CAV1
SP1	CAV1
RELA	FN1
ESR2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
POU5F1	HMGB2
STAT4	IL2RA
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
POU2F2	MYC
ETS1	PRL
CEBPD	PTGS2
JUN	TFF1
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
TFAP2A	VHL
ETS1	VWF
NFIC	VWF
SMAD4	ZFP36
