MAOB	NFYB
NFYB	EP300
EP300	JUN
EP300	CREB1
EP300	TFAP2A
EP300	ETS1
EP300	HIF1A
NFYB	SP1
EP300	FOS
EP300	STAT3
EP300	CREBBP
EP300	ARNT
EP300	STAT1
EP300	TP63
TP63	ETV4
EP300	JUND
EP300	SMAD3
EP300	SMAD4
EP300	JUNB
NFYB	NFYC
NFYC	ATF6
AOC3	PRRG4
PRRG4	RBBP8
RBBP8	BRCA1
BRCA1	JUN
PRRG4	YAP1
YAP1	CREB1
BRCA1	TFAP2A
BRCA1	ETS1
BRCA1	HIF1A
BRCA1	SP1
YAP1	PML
PML	FOS
RBBP8	RB1
RB1	STAT3
BRCA1	CREBBP
YAP1	EP300
BRCA1	ARNT
YAP1	STAT1
PRRG4	UBE2K
UBE2K	HTT
HTT	ETV4
BRCA1	SMAD3
BRCA1	JUNB
CREB1	ATF6
ABAT	RAD23B
RAD23B	BRCA1
BRCA1	CREB1
RAD23B	HIF1A
ABAT	CBS
CBS	UBE2I
UBE2I	FOS
HIF1A	STAT3
BRCA1	EP300
BRCA1	STAT1
CBS	UBA2
UBA2	ETV4
RAD23B	SOX2
SOX2	JUND
ABAT	ENO1
ENO1	BTRC
BTRC	SMAD4
RAD23B	UBC
UBC	ATF6
GPT	CFL1
CFL1	PIN1
PIN1	JUN
CFL1	ARRB2
ARRB2	AKT1
AKT1	CREB1
ARRB2	NPM1
NPM1	TFAP2A
CFL1	ALDOA
ALDOA	PIAS4
PIAS4	ETS1
ARRB2	CAPN1
CAPN1	HIF1A
PIN1	SP1
ARRB2	POLR2E
POLR2E	FOS
CAPN1	STAT3
ARRB2	CSK
CSK	CREBBP
PIN1	EP300
CFL1	TRAP1
TRAP1	RB1
RB1	ARNT
ARRB2	STAT1
PIN1	SMAD2
SMAD2	ETV4
ARRB2	MAPK1
MAPK1	JUND
PIN1	SMAD3
PIAS4	SMAD4
ARRB2	MAPK9
MAPK9	JUNB
ARRB2	UBC
GPT2	APP
APP	MAPK8
MAPK8	JUN
APP	KAT5
KAT5	CREB1
APP	MYC
MYC	TFAP2A
APP	MAPK7
MAPK7	ETS1
APP	MCM7
MCM7	HIF1A
MAPK8	SP1
MAPK7	FOS
MAPK8	STAT3
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
GPT2	RAD51
RAD51	PML
PML	ARNT
GPT2	RTF1
RTF1	STAT1
GPT2	SLX5
SLX5	UBA2
MAPK8	JUND
APP	GSK3B
GSK3B	SMAD3
APP	CSNK1D
CSNK1D	SMAD4
GPT2	ATF1
ATF1	JUNB
APP	SYVN1
SYVN1	ATF6
CREBBP	TIMP1
EP300	TIMP1
HIF1A	TIMP1
ARNT	TIMP1
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
JUN	TXN
ATF6	XBP1
