AKR1D1	SIRT1
SIRT1	STAT3
SIRT1	RB1
RB1	CEBPB
SIRT1	RELA
RELA	REL
SIRT1	SUV39H1
SUV39H1	RUNX1
SIRT1	HDAC2
HDAC2	RUNX1T1
SIRT1	TP53
RB1	E2F4
SIRT1	FOS
FOS	CEBPA
SIRT1	RARA
SIRT1	UBE2I
UBE2I	MYB
RELA	POU2F1
STAT3	SP1
STAT3	NFKB1
STAT3	HIF1A
RB1	MYC
RB1	TFAP2A
SIRT1	KAT2B
KAT2B	PTF1A
PTF1A	RBPJL
SIRT1	SNW1
SNW1	RBPJ
SIRT1	CREB1
SIRT1	ESR1
ESR1	CREBBP
STAT3	EP300
RB1	ARNT
SIRT1	JUN
RB1	ATF2
STAT3	STAT1
RELA	SMAD3
UBE2I	ETS1
RELA	ATF4
SIRT1	SMAD7
SMAD7	YAP1
RB1	TFDP1
JUN	CREB3
ESR1	XBP1
XBP1	ATF6B
SIRT1	EZH2
EZH2	ELAVL1
ELAVL1	CREB3L2
RUNX1T1	CREB3L1
FOS	CREB5
STAT3	NFKB2
ESR1	STAT5A
SIRT1	JAK1
JAK1	STAT5B
SIRT1	TRIM28
TRIM28	STAT4
RELA	EGR1
SIRT1	HSP90AA1
HSP90AA1	NFIC
RB1	PPARG
UBE2I	RXRA
SIRT1	PPARA
PPARA	RXRB
PPARA	RXRG
RB1	CEBPE
RB1	TFDP2
SIRT1	ARRB2
ARRB2	XRCC6
XRCC6	POU2F2
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
TFDP1	CCNE1
TFDP2	CCNE1
CREB1	PER3
ESR1	ATP2B1
RBPJL	CR2
RBPJL	FCER2
RBPJL	MYC
RBPJ	CR2
RBPJ	FCER2
RBPJ	MYC
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
SMAD3	MYC
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
CREBBP	ENO2
CREBBP	LTBR
CREBBP	PDK1
CREBBP	PFKL
CREBBP	PGK1
CREBBP	VEGFA
EP300	ENO2
EP300	LTBR
EP300	PDK1
EP300	PFKL
EP300	PGK1
EP300	VEGFA
HIF1A	ENO2
HIF1A	LTBR
HIF1A	PDK1
HIF1A	PFKL
HIF1A	PGK1
HIF1A	VEGFA
ARNT	ENO2
ARNT	LTBR
ARNT	PDK1
ARNT	PFKL
ARNT	PGK1
ARNT	VEGFA
YAP1	AFP
YAP1	MYC
STAT1	MYC
STAT3	MYC
STAT4	MYC
STAT5A	MYC
STAT5B	MYC
NFKB1	TRAF1
RELA	TRAF1
NFKB1	VEGFA
RELA	VEGFA
STAT1	VEGFA
STAT3	VEGFA
ETS1	VEGFA
FOS	VEGFA
JUN	VEGFA
MYC	VEGFA
NFKB2	TRAF1
PPARG	FABP4
PPARG	LPL
RXRA	FABP4
RXRA	LPL
RXRB	FABP4
RXRB	LPL
RXRG	FABP4
RXRG	LPL
NFKB1	CEBPB
RELA	CEBPB
CEBPA	TSC22D3
MYB	TSC22D3
CEBPA	AFP
CEBPB	AFP
NFIC	AFP
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C2
POU2F1	AKR1C3
SP1	APEX1
TP53	BAK1
HIF1A	BNIP3
NFIC	C4BPB
TFDP1	CAV1
E2F4	CAV1
SP1	CAV1
TP53	CAV1
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
EGR1	FCER2
RELA	HDAC2
TFAP2A	KRT14
POU2F1	LPL
RARA	MIF
E2F4	MYC
MYC	MYC
CEBPE	MYC
ESR1	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
POU2F1	MYC
POU2F2	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
MYC	NME1
TP53	NME1
FOS	NQO1
E2F4	PCNA
TP53	PCNA
CEBPA	PREB
CEBPB	PRL
ETS1	PRL
POU2F1	PRL
E2F4	RBL1
POU2F1	TXNRD1
SMAD3	ZFP36
