HTR2A	CBL
CBL	EGFR
EGFR	STAT3
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	MAPK8
MAPK8	HSF1
CBL	SMAD3
SMAD3	JUN
CBL	YWHAZ
YWHAZ	TP53
CBL	CTNNB1
CTNNB1	HIF1A
CBL	HSPA4
HSPA4	NFKB1
SMAD3	JUND
CTNNB1	SP1
EP300	ETS1
CTNNB1	CREBBP
EP300	ARNT
GRB2	HSP90AA1
HSP90AA1	NFIC
CBL	HSPA8
HSPA8	RELA
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
DRD2	FLNA
FLNA	LMNA
LMNA	RB1
RB1	TFAP2A
FLNA	FILIP1
FILIP1	HSF1
FLNA	RBM39
RBM39	JUN
FLNA	RANBP2
RANBP2	TP53
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
FLNA	REL
REL	NFKB1
COPS5	JUND
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
REL	EP300
REL	CREBBP
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	ARNT
REL	RELA
DRD1	RANBP9
RANBP9	ESR1
ESR1	STAT3
RANBP9	APP
APP	MYC
MYC	TFAP2A
RANBP9	UBE2I
UBE2I	HSF1
RANBP9	NR3C1
NR3C1	JUN
ESR1	TP53
ESR1	HIF1A
NR3C1	NFKB1
RANBP9	COPS5
ESR1	SP1
UBE2I	ETS1
ESR1	CREBBP
ESR1	EP300
ESR1	SMURF1
SMURF1	NFIC
ESR1	RELA
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	STAT3
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
HSP90AA1	HSF1
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
HSP90AA1	TP53
HSP90AA1	HIF1A
EP300	NFKB1
EP300	JUND
HSP90AA1	SP1
MAP3K5	CREBBP
EP300	RELA
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	STAT3
GIPC1	SH3BP4
SH3BP4	TFAP2A
DRD3	RDX
RDX	HSPA4
HSPA4	HSF1
DRD3	EPB41L1
COPS5	JUN
COPS5	TP53
MCM7	HIF1A
COPS5	NFKB1
RB1	SP1
GIPC1	ACTN1
ACTN1	PIAS4
PIAS4	ETS1
HIF1A	CREBBP
RDX	CTTN
CTTN	EP300
RB1	ARNT
EPB41L1	COPS3
COPS3	HSP90AA1
GIPC1	OGT
OGT	RELA
DRD4	ARRB2
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	NPM1
NPM1	TFAP2A
DRD4	STUB1
STUB1	HSF1
ARRB2	MAP2K4
MAP2K4	JUN
STUB1	TP53
STUB1	HIF1A
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	MAPK1
MAPK1	JUND
MAPK1	SP1
DRD4	GRB2
ARRB2	CSK
CSK	CREBBP
STUB1	RELA
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	GNB2
GNB2	STAT3
GNAI3	GNAI2
GNAI2	NPM1
GNAI3	YWHAQ
YWHAQ	HSPB1
HSPB1	HSF1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
TRIP6	PTK2
PTK2	TP53
S1PR1	WWP2
WWP2	SMAD3
SMAD3	HIF1A
YWHAQ	E2F1
E2F1	NFKB1
CREB5	JUND
SMAD3	SP1
YWHAQ	NCOA3
NCOA3	ETS1
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
YWHAQ	NCOA1
NCOA1	ARNT
YWHAQ	SMURF1
TRIP6	UBE2C
UBE2C	RELA
HTR1B	MDFI
MDFI	MYOD1
MYOD1	STAT3
MDFI	KAT5
KAT5	EP300
KAT5	UBE2I
MDFI	PIN1
PIN1	JUN
KAT5	TP53
MDFI	VHL
VHL	HIF1A
MDFI	CREB5
VHL	SP1
MYOD1	CREBBP
VHL	HSP90AA1
KAT5	RELA
HTR1D	HTR1B
HTR1E	MEOX2
MEOX2	RELA
RELA	STAT3
HTR1E	PSMC3
PSMC3	TP53
TP53	TFAP2A
PSMC3	STAT1
STAT1	HSF1
RELA	JUN
PSMC3	HIF1A
HTR1E	PSMC4
PSMC4	PSMD10
PSMD10	NFKB1
PSMC3	MDM2
MDM2	JUND
PSMC4	PSMC5
PSMC5	SP1
TP53	ETS1
PSMC4	RBBP4
RBBP4	CREBBP
RELA	EP300
HIF1A	ARNT
HTR1E	ATP5B
ATP5B	HSP90AA1
HTR2C	DLG4
DLG4	ERBB2
ERBB2	STAT3
HTR2C	LIN7C
LIN7C	APC
APC	TFAP2A
HTR2C	CALM1
CALM1	HSPA4
DLG4	MDM2
MDM2	JUN
DLG4	ERBB4
ERBB4	TP53
MDM2	HIF1A
CALM1	DCUN1D1
DCUN1D1	NFKB1
CALM1	ESR1
DLG4	ACTN2
ACTN2	SP100
SP100	ETS1
MDM2	EP300
MDM2	RELA
HTR6	MTOR
MTOR	STAT3
HTR6	CLTC
