DDC	RELA
RELA	POU2F1
RELA	MAPK14
MAPK14	ATF6
RELA	TP53
RELA	CREBBP
RELA	EP300
RELA	HIF1A
EP300	CREB1
EP300	ARNT
RELA	NFKB1
RELA	SMAD3
SMAD3	LEF1
RELA	UBC
UBC	DAZAP2
DAZAP2	TCF7
RELA	AR
AR	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
RELA	SP1
RELA	HDAC3
HDAC3	CREB3
RELA	EZH2
EZH2	ELAVL1
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
RELA	JUN
EP300	FOXO3
RELA	STAT3
STAT3	RB1
RB1	TFDP2
RELA	ATF4
CREB3	FOSB
CREB1	FOSB
ATF4	FOSB
CREB3L2	FOSB
CREB3L1	FOSB
TFDP2	CCNE2
JUN	CCND3
TP53	CDKN1B
CREBBP	CDKN1B
EP300	CDKN1B
HIF1A	CDKN1B
ARNT	CDKN1B
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TCF7L1	CCND3
CREB3	MITF
CREB1	MITF
CREBBP	MITF
EP300	MITF
LEF1	MITF
CREB3L2	MITF
TCF7	MITF
TCF7L2	MITF
TCF7L1	MITF
CREB3L1	MITF
TP53	CCNG1
NFKB1	TRAF5
RELA	TRAF5
FOXO3	CDKN1B
CREB1	HLA-DMA
NFKB1	IL18
RELA	IL18
ATF4	ASNS
SP1	HSPB1
JUN	PDHA1
SP1	PDHA1
POU2F1	TXNRD1
ATF6	XBP1
