TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
ATF6B	FOS
ATF4	FOS
RELA	BIRC2
RELA	XIAP
GLI1	WNT7B
GLI1	WNT8B
GLI2	WNT9A
GLI2	WNT10A
GLI3	BMP4
NPAS2	PER2
CLOCK	RORC
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
ELK1	CCND3
TP53	CDKN1B
CREBBP	TF
SMAD2	CTGF
STAT5A	SOCS5
STAT5B	SOCS7
PAX6	GCK
CREB3L4	MITF
RELA	PTGS2
RELA	TRAF2
RELB	CCL19
PIK3CD	AKT3
PIK3CG	AKT3
PIK3R1	PDPK1
PIK3R2	AKT1
PIK3R3	AKT3
TP53	SESN3
TP53	PERP
EPAS1	PDGFB
ETS1	VEGFC
MAX	CKS1B
NFKB2	TRAF2
NFKB2	TRAF5
FOXO3	G6PC2
PPARA	CYP7A1
PPARA	DBI
PPARD	CPT1A
PPARG	CYP27A1
PPARG	ACSL1
RXRA	CYP4A11
RXRA	ACSBG1
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRA	UCP1
RXRB	CYP4A22
NFYA	HLA-DPB1
NFYA	HLA-DQA1
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
MAPK11	IL1B
MAPK11	IL6
MAPK9	NOS2
RFX5	HLA-DPA1
RFX5	HLA-DPB1
RFXANK	HLA-DRB1
RFXANK	HLA-DRB3
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	JUN
TCF7L1	MMP7
TCF7L1	PPARD
ESR1	APOE
CREB1	AQP3
USF1	CALCA
USF2	CALCA
JUN	CYP11A1
SP1	EGFR
JUND	F3
RELA	F3
CEBPB	F8
NFKB1	F8
AR	F9
TFAP2A	GH2
USF1	GH2
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
USF1	HMOX1
USF2	HMOX1
CEBPB	HP
ATF4	HPGD
CREB1	HPGD
CEBPD	IL6
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
CEBPE	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
MYB	NRAS
FOS	NTS
CREB1	ODC1
NFIC	PCK2
EGR1	PDGFB
JUN	PDHA1
ATF2	PENK
TFAP2A	PENK
ETS1	PRL
CEBPD	PTGS2
SP1	RPL10
RELA	S100A6
CEBPA	SERPINC1
EPAS1	SERPINE1
SP1	SPP1
SP1	TAF7
POU2F1	TFPI2
STAT1	TP53
FOS	TSHB
