HTR2A	CBL
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
EP300	USF2
CBL	MAPK8
MAPK8	MYC
CBL	SMAD3
SMAD3	JUN
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
NPM1	BRCA1
BRCA1	USF2
ADRA2A	UCHL1
UCHL1	CDK4
CDK4	MYC
GNAI2	ITCH
ITCH	JUN
HTR2C	LIN7C
LIN7C	APC
APC	TFAP2A
HTR2C	DLG4
DLG4	MDM2
MDM2	EP300
HTR2C	CALM1
CALM1	ESR1
ESR1	MYC
MDM2	JUN
OPRK1	SIAH1
SIAH1	NPM1
SIAH1	STAT3
STAT3	EP300
SIAH1	PIAS2
PIAS2	MYC
STAT3	JUN
ADRA2C	UCHL1
UCHL1	TP53
TP53	TFAP2A
UCHL1	CTNNB1
CTNNB1	EP300
UCHL1	UBE2I
UBE2I	JUN
HTR7	CUL3
CUL3	NPM1
CUL3	GRB2
CUL3	APP
APP	MYC
CUL3	ATF2
ATF2	JUN
ADRA1B	AP2M1
AP2M1	EPS15
EPS15	TFAP2A
AP2M1	CLTC
CLTC	EP300
AP2M1	CSNK2B
CSNK2B	MYC
AP2M1	AP1G1
AP1G1	JUN
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
ADRA1D	GOPC
GOPC	RELA
RELA	USF2
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
RELA	JUN
DRD2	FLNA
FLNA	LMNA
LMNA	RB1
RB1	TFAP2A
FLNA	REL
REL	EP300
DRD2	EPB41L1
EPB41L1	APP
FLNA	RBM39
RBM39	JUN
DRD3	GIPC1
GIPC1	SH3BP4
SH3BP4	TFAP2A
GIPC1	OGT
OGT	RELA
DRD3	EPB41L1
EPB41L1	COPS5
COPS5	JUN
SLC6A2	ACTB
SLC6A2	SNCA
SNCA	APP
SNCA	MAPK8
MAPK8	JUN
SLC6A4	SNCA
MYC	TFAP2A
SNCA	CLTC
SLC6A3	EPS15
SLC6A3	TGFB1I1
TGFB1I1	SMAD3
SMAD3	EP300
SLC6A3	PICK1
PICK1	EFNB1
EFNB1	MYC
HTR2B	AGTR1
AGTR1	ARRB2
ARRB2	NPM1
AGTR1	ZBTB16
ZBTB16	EP300
ARRB2	HNRNPD
HNRNPD	MYC
AGTR1	MAPK1
MAPK1	JUN
DRD1	RANBP9
RANBP9	APP
RANBP9	ESR1
ESR1	EP300
RANBP9	NR3C1
NR3C1	JUN
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
DRD5	GNA12
GNA12	APP
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
ADRB1	ARRB2
ARRB2	HSPA5
HSPA5	EP300
ARRB2	MAP2K4
MAP2K4	JUN
ADRB2	STAT3
ADRB2	VHL
VHL	MYC
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
SP1	GH2
