HMGCR	UBC
UBC	BRCA1
BRCA1	SP1
BRCA1	E2F4
BRCA1	JUN
UBC	HSPB1
HSPB1	HSF1
BRCA1	TFAP2A
BRCA1	ETS1
UBC	E2F1
E2F1	NFKB1
BRCA1	POU2F1
UBC	NARS
NARS	XRCC6
XRCC6	POU2F2
BRCA1	MYC
BRCA1	SMAD3
BRCA1	CREB1
UBC	ZFYVE9
ZFYVE9	ETS2
ITGB2	YWHAZ
YWHAZ	CTNNB1
CTNNB1	SP1
YWHAZ	ENO1
ENO1	E2F4
ITGB2	COPS5
COPS5	JUN
YWHAZ	BAG3
BAG3	HSF1
YWHAZ	TP53
TP53	TFAP2A
TP53	ETS1
COPS5	NFKB1
YWHAZ	XRCC6
XRCC6	POU2F1
YWHAZ	APP
APP	MYC
YWHAZ	CDC25A
CDC25A	SMAD3
YWHAZ	ABL1
ABL1	CREB1
TP53	ETS2
CREB1	ARC
JUN	GRIA2
SMAD3	MYC
HSF1	HSPA8
ETS1	CDK4
JUN	CDK4
MYC	CDK4
TFAP2A	CALB2
MYC	CCNB1
TFAP2A	CCNB1
E2F4	CDC45
JUN	GJA1
SP1	GJA1
SP1	HSPA8
CREB1	IL2
ETS2	IL2
NFKB1	IL2
POU2F1	IL2
POU2F2	IL2
SP1	IL2
ETS1	IL5
ETS2	IL5
JUN	IL5
POU2F1	IL5
POU2F2	IL5
E2F4	MYC
MYC	MYC
JUN	MYC
NFKB1	MYC
POU2F1	MYC
POU2F2	MYC
SP1	MYC
TFAP2A	MYC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
CREB1	TG
ETS1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD3	TNNC1
