TUBB1	SNCA
SNCA	MEF2D
MEF2D	HDAC3
HDAC3	E2F4
SNCA	UBC
UBC	E2F1
SNCA	PTK2
PTK2	BCAR1
BCAR1	E2F2
MEF2D	HDAC1
HDAC1	E2F3
SNCA	MAPK8
MAPK8	SP1
SNCA	AKT1
AKT1	CREB1
PTK2	TP53
SNCA	APP
APP	MAPK7
MAPK7	FOS
MAPK8	JUN
MAPK7	ETS1
SNCA	HSPA8
HSPA8	ERG
SNCA	MAPK1
MAPK1	HIF1A
MEF2D	COPS5
COPS5	CREB3
MAPK8	ATF2
UBC	ATF6
ATF6	ATF6B
SNCA	CLTC
CLTC	EP300
EP300	ATF4
SNCA	Dynll1
Dynll1	CREB3L2
SNCA	VDAC1
VDAC1	TSPO
TSPO	CREB3L1
MAPK8	TRAF2
TRAF2	CREB5
SNCA	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
SNCA	MAPK3
APP	AKAP13
AKAP13	PPARA
SNCA	HSPA4
HSPA4	NFKB1
PTK2	SAE1
SAE1	ETV4
AKT1	CREBBP
APP	KAT5
KAT5	MYB
EP300	ETS2
APP	MYC
MAPK1	PAX5
MAPK1	PPARG
PTK2	MMM1
MMM1	ATF1
EP300	ARNT
TUBB	XPO1
XPO1	E2F4
TUBB	APP
KAT5	E2F1
XPO1	ELAVL1
ELAVL1	E2F2
ELAVL1	E2F3
TUBB	HTT
HTT	SP1
TUBB	ATXN3
ATXN3	CREB1
HTT	TP53
TUBB	VAV1
VAV1	JUN
APP	HSPA8
TUBB	HDAC6
HDAC6	HIF1A
JUN	CREB3
APP	MAPK8
TUBB	GAPDH
GAPDH	NFYC
NFYC	ATF6B
HTT	CREBBP
CREBBP	ATF4
ELAVL1	CREB3L2
HDAC6	DDIT3
DDIT3	CREB3L1
TUBB	MYC
MYC	BRCA1
BRCA1	CREB5
ELAVL1	NFIC
VAV1	MAPK1
HDAC6	MAPK3
APP	GSK3B
GSK3B	NFKB1
HTT	ETV4
HDAC6	EP300
TUBB	KAT2A
KAT2A	MYB
CREBBP	ETS2
XPO1	PPARG
CREBBP	ATF1
HTT	PML
PML	ARNT
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
EGR2	FASLG
NFKB1	TNF
CREBBP	ALDOA
CREBBP	SERPINE1
EP300	ALDOA
EP300	SERPINE1
HIF1A	ALDOA
HIF1A	SERPINE1
STAT3	SOCS2
STAT3	CCND3
STAT4	SOCS1
PAX6	INS
LEF1	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
EPAS1	VEGFB
RXRA	PLIN1
RXRB	ACSL4
RXRG	ADIPOQ
MAPK10	IL8
NFKB1	IL18
NFYA	HLA-DOB
MAPK3	IL12A
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DMB
RFXAP	HLA-DOA
RFXAP	HLA-DOB
SP1	ADH6
TP53	AQP1
ATF1	AQP3
E2F4	CAV1
EGR1	CD9
MYC	CDC25A
E2F4	CDC45
RARB	CRABP2
SP1	CYP21A2
MYC	DDX18
SP3	DKC1
SP3	DNASE2
SP1	GH2
POU2F2	HLA-DRA
POU5F1	HMGB2
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
PPARG	LIPA
CEBPE	MYC
ESR1	MYC
POU2F1	VWF
SMAD4	ZFP36
