ADRB1	ARRB2
ARRB2	PRMT5
PRMT5	RELA
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	C1QBP
C1QBP	CEBPA
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	SP1
ARRB2	CSK
CSK	CREBBP
CREBBP	ETS2
ARRB2	CDK3
CDK3	PPARA
ARRB2	CAPN1
CAPN1	STAT3
MAPK1	ELK1
ARRB2	UBC
UBC	ATF6
ARRB2	ALYREF
ALYREF	LEF1
ARRB2	HDAC2
HDAC2	PPARD
ADRB2	STAT3
STAT3	RELA
STAT3	NFKB1
ADRB2	C1QBP
ADRB2	MAPK14
MAPK14	CREB1
STAT3	SP1
STAT3	EP300
EP300	ETS2
RELA	PPARA
STAT3	MAPK8
MAPK8	ELK1
MAPK14	ATF6
STAT3	SMAD1
SMAD1	LEF1
STAT3	HDAC2
STAT3	PIM2
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
STAT5A	CCND1
STAT6	MYC
MYD88	IFNA7
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA17
MAPK11	IL12B
ATF4	ASNS
SP1	CYP21A2
JUNB	DCN
PPARG	EGFR
ATF1	GH2
TP53	IL8
STAT1	IRF1
CEBPA	ITGA2
POU2F2	MYC
BCL3	NFKB1
