DDC	RELA
RELA	SP1
RELA	JUN
RELA	TP63
TP63	ETV4
RELA	HSPA8
HSPA8	ERG
RELA	TP53
RELA	SMAD3
SMAD3	CEBPA
RELA	EP300
EP300	ETS1
EP300	TFAP2A
RELA	BRCA1
BRCA1	FLI1
RELA	TBP
TBP	SPI1
RELA	CREBBP
RELA	HIF1A
EP300	ARNT
GLI3	WNT16
CTNNB1	CCND2
MAPK10	SMAD4
CREBBP	PFKFB4
EP300	PFKFB4
HNF1A	HNF4A
RELA	TRAF1
PIK3CD	PDPK1
MAPK1	IL12B
RFX5	HLA-DRB5
RFXAP	HLA-DPB1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB5
MAPK12	IL1B
USF1	APOC3
USF2	APOC3
MYC	EIF4E
NFKB1	ELF3
RELA	ELF3
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
SPI1	IL1B
RELA	IL2
POU2F1	IL4
POU2F2	IL4
CEBPE	MYC
ESR1	MYC
JUN	TFF1
