ACHE	COL1A1
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
COL1A1	P4HB
P4HB	CALU
CALU	HSF1
UBL4A	NPM1
NPM1	TFAP2A
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	ITGB1
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
IGF1R	ESR1
ESR1	SP3
UBL4A	TXN
TXN	NFKB1
UBL4A	HNRNPK
HNRNPK	CEBPB
HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	MAPK8
MAPK8	HSF1
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	YWHAZ
YWHAZ	TP53
CTNNB1	BRCA1
BRCA1	FLI1
EP300	SP3
CBL	HSPA4
HSPA4	NFKB1
CBL	SMAD3
SMAD3	CEBPB
SOS1	SPRY3
PAX6	PDX1
RBPJ	HES5
TP53	CAV1
USF1	CCND1
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
POU2F1	CD79B
SP3	CTSB
STAT5B	IFNG
TFAP2A	ITGA2
HIF1A	ITGB2
