MAOB	NFYB
NFYB	EP300
EP300	CREB1
EP300	NFKB1
EP300	RELA
EP300	JUN
EP300	FOS
EP300	TP63
TP63	ETV4
AOC3	PRRG4
PRRG4	YAP1
YAP1	CREB1
YAP1	EP300
PRRG4	RBBP8
RBBP8	BARD1
BARD1	RELA
RBBP8	BRCA1
BRCA1	JUN
YAP1	PML
PML	FOS
PRRG4	UBE2K
UBE2K	HTT
HTT	ETV4
ABAT	RAD23B
RAD23B	BRCA1
BRCA1	CREB1
RAD23B	STAT6
STAT6	NFKB1
BRCA1	RELA
ABAT	CBS
CBS	UBE2I
UBE2I	FOS
CBS	UBA2
UBA2	ETV4
GPT	CFL1
CFL1	ARRB2
ARRB2	AKT1
AKT1	CREB1
ARRB2	NFKBIA
NFKBIA	NFKB1
CFL1	PIN1
PIN1	RELA
PIN1	JUN
ARRB2	POLR2E
POLR2E	FOS
PIN1	SMAD2
SMAD2	ETV4
GPT2	APP
APP	KAT5
KAT5	CREB1
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	JUN
APP	MAPK7
MAPK7	FOS
GPT2	SLX5
SLX5	UBA2
CREB1	HLA-DMA
NFKB1	CEBPB
RELA	CEBPB
CREB1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
