ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
IGF1R	CSK
CSK	JUN
TP53	ETS1
COL1A1	ITGB1
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
UBL4A	NPM1
NPM1	TFAP2A
UBL4A	C1QBP
C1QBP	CEBPA
ITGB1	PTK2
PTK2	STAT1
UBL4A	FUS
FUS	SPI1
IGFBP3	FN1
FN1	UBE2L3
UBE2L3	FOS
PTK2	SAE1
SAE1	ETV4
UBL4A	HSPA8
HSPA8	ERG
UBL4A	HSP90AA1
HSP90AA1	IRF3
ITGB1	TUBA1A
TUBA1A	MYC
JUN	RELA
JUN	CCND3
STAT1	CCND3
ETS1	MMP2
FOS	MMP2
JUN	MMP2
MYC	MMP2
IRF3	CXCL9
IRF3	CXCL11
STAT1	CXCL9
STAT1	CXCL11
SP1	APEX1
TP53	CHEK1
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
SP1	RELA
TP53	RELA
