SLC22A6	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	CDC20
CDC20	CREBBP
APP	MAPK8
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
MAPK8	JUNB
APP	MAPK7
MAPK7	ETS1
MAPK8	STAT3
MAPK8	JUN
MAPK8	SP1
APP	MYC
MYC	TFAP2A
MAPK8	CEBPA
APP	RFX5
RFX5	PPARG
PANX1	GNAS
GNAS	C1QBP
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
GNAS	RUVBL1
RUVBL1	CREBBP
C1QBP	PRKCD
PRKCD	EP300
GIPC1	MCM7
RUVBL1	ELAVL1
CREBBP	JUNB
CREBBP	ETS1
GNAS	HLA-A
HLA-A	STAT3
C1QBP	PRKD1
PRKD1	JUN
C1QBP	PRKCZ
PRKCZ	SP1
GIPC1	SH3BP4
SH3BP4	TFAP2A
C1QBP	CEBPA
C1QBP	PRKCA
PRKCA	PPARG
CTNNB1	CCND2
MAPK8	JUN
MAPK10	JUN
MAPK10	SMAD4
CREBBP	ANGPT4
CREBBP	PFKFB3
CREBBP	PFKFB4
EP300	ANGPT4
EP300	PFKFB3
EP300	PFKFB4
HIF1A	ANGPT4
HIF1A	PFKFB3
RXRG	EHHADH
IRF7	IFNA8
RFXAP	HLA-DPB1
RFXAP	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
MAPK12	IL1A
MAPK12	IL1B
ETS2	TWF2
TFAP2A	KRT5
ETS1	LCK
ATF1	LDHA
EGR1	LHB
PPARA	LIPA
PPARD	LIPA
