ADRA1B	AP2M1
AP2M1	CSNK2B
CSNK2B	BRCA1
BRCA1	FLI1
AP2M1	EPS15
EPS15	TFAP2A
AP2M1	BCR
BCR	TP53
AP2M1	SFPQ
SFPQ	SP1
SFPQ	SP3
BRCA1	ELK4
AP2M1	PRKDC
PRKDC	SRF
AP2M1	CLTC
CLTC	EP300
EP300	TCF3
TCF3	ELK3
EP300	CREB1
AP2M1	HSPA8
HSPA8	ESR1
EP300	STAT3
EP300	STAT1
SFPQ	MAPK1
MAPK1	ELK1
AP2M1	AP1G1
AP1G1	JUN
EP300	NFKB1
EP300	ETS2
AP2M1	APC
APC	CREBBP
EP300	HIF1A
EP300	ARNT
HSPA8	RELA
AP2M1	EEF1A1
EEF1A1	RUVBL1
RUVBL1	LEF1
AP2M1	UBC
UBC	DAZAP2
DAZAP2	TCF7
EEF1A1	FUS
FUS	TCF7L2
AP2M1	CHD8
CHD8	CTNNB1
CTNNB1	TCF7L1
AP2M1	RALBP1
RALBP1	AMOTL2
AMOTL2	YAP1
AP2M1	DVL2
DVL2	WWTR1
WWTR1	TEAD1
AP2M1	PER1
PER1	VPS52
VPS52	TEAD4
CLTC	PHB2
PHB2	TEAD3
HSPA8	POU2F1
AP2M1	STX8
STX8	CREB3
AP2M1	RUVBL2
RUVBL2	ATF2
UBC	ATF6
ATF6	ATF6B
EP300	ATF4
CREB3	CREB3L2
CSNK2B	PRKAB2
PRKAB2	CREB3L1
EPS15	TRAF2
TRAF2	CREB5
CSNK2B	STAT5A
BCR	PTPN6
PTPN6	STAT5B
EP300	STAT2
JUN	STAT4
EEF1A1	STAT6
HSPA8	UBE3A
UBE3A	CEBPA
EEF1A1	HSP90AA1
HSP90AA1	NR3C2
EP300	SMAD7
AP2M1	ITSN1
ITSN1	SOS1
AP2M1	CRK
CRK	SOS2
EP300	FOS
CSNK2B	MYC
EEF1A1	IKBKG
IKBKG	NFKB2
ADRA1D	GOPC
GOPC	BECN1
BECN1	BRCA1
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
EP300	TFAP2A
DTNA	NMT1
NMT1	TP53
DTNA	NUP62
NUP62	SP1
GOPC	RELA
RELA	SP3
GOPC	MYOCD
MYOCD	SRF
ADRA1D	AMFR
AMFR	VCP
VCP	TOP1
TOP1	ELK3
AMFR	ATXN3
ATXN3	CREB1
ACTB	ESR1
RELA	STAT3
GOPC	KPNA1
KPNA1	STAT1
DTNA	DMD
DMD	APP
APP	ELK1
RELA	JUN
RELA	NFKB1
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
RELA	HIF1A
ACTB	RUVBL1
AMFR	UBC
AMFR	PSMA3
PSMA3	TCF7L2
NUP62	CTNNB1
AMFR	UBE2D1
UBE2D1	YAP1
AMFR	HTT
HTT	ZDHHC17
ZDHHC17	TEAD1
DTNA	SNTA1
SNTA1	GOLGA2
GOLGA2	TEAD4
SNTB2	MAST2
MAST2	SUMO2
SUMO2	TEAD3
RELA	POU2F1
ABCA1	COPS5
COPS5	CREB3
EP300	ATF2
NUP62	NXF1
NXF1	ATF6B
RELA	ATF4
GOPC	CCDC102B
CCDC102B	CEP19
CEP19	CREB3L2
KPNA1	RUNX1T1
RUNX1T1	CREB3L1
MAST2	TRAF2
EP300	STAT5A
AMFR	HAX1
HAX1	STAT5B
AMFR	TRIM28
TRIM28	STAT4
AMFR	EEF1A1
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
DTNA	MYO1E
MYO1E	CAND1
CAND1	NR3C2
DMD	NEDD4
NEDD4	SMAD7
NUP62	MUC1
MUC1	SOS1
ESR1	SOS2
RELA	FOS
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
RELA	NFKB2
KCNH2	HSP90AA1
HSP90AA1	BRCA1
KCNH2	YWHAE
YWHAE	NPM1
NPM1	TFAP2A
KCNH2	HSPA8
HSPA8	TP53
HSP90AA1	SP1
ESR1	SP3
KCNH2	CDC73
CDC73	MUS81
MUS81	ELK4
YWHAE	HDAC4
HDAC4	SRF
YWHAE	SNRPD1
SNRPD1	TOP1
YWHAE	ABL1
ABL1	CREB1
HSP90AA1	STAT3
YWHAE	XPO1
XPO1	STAT1
HSPA8	SNCA
SNCA	ELK1
ABL1	JUN
HDAC4	NFKB1
TP53	ETS2
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	HIF1A
HSP90AA1	ARNT
CDC73	CTNNB1
CTNNB1	LEF1
YWHAE	MAP3K7
MAP3K7	DAZAP2
CTNNB1	TCF7L2
YWHAE	YWHAQ
YWHAQ	YAP1
YWHAE	WWTR1
YWHAE	EIF3E
EIF3E	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
YWHAE	SHMT2
SHMT2	CREB3
YWHAE	MAPK14
MAPK14	ATF2
HSP90AA1	CDK6
CDK6	ATF6B
SHMT2	ATF4
YWHAE	HNRNPA1
HNRNPA1	ELAVL1
ELAVL1	CREB3L2
KCNH2	FKBP8
FKBP8	PGRMC1
PGRMC1	CREB3L1
BRCA1	CREB5
ESR1	STAT5A
HSPA8	NMI
NMI	STAT5B
HSP90AA1	STAT2
YWHAQ	TRIM28
YWHAE	USP8
USP8	STAT6
YWHAE	C1QBP
C1QBP	CEBPA
YWHAE	CBL
CBL	SMAD7
CBL	SOS1
YWHAE	GRAP2
GRAP2	SOS2
ABL1	FOS
HSP90AA1	MYC
YWHAE	TBK1
TBK1	NFKB2
ADRA2A	GNAI2
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	FLI1
GNAI2	NPM1
ADRA2A	UCHL1
UCHL1	TP53
UCHL1	CTNNB1
CTNNB1	SP1
PIAS1	SP3
NPM1	BRCA1
UCHL1	UBE2I
UBE2I	SRF
SRSF1	TOP1
TP53	CREB1
ADRA2A	GNB1
GNB1	PAK1
PAK1	ESR1
GNB1	MTOR
MTOR	STAT3
MTOR	STAT1
UBE2I	ELK1
GNAI2	ITCH
ITCH	JUN
UCHL1	COPS5
COPS5	NFKB1
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
UCHL1	HSP90AA1
NPM1	RELA
GNAI2	PLSCR1
PLSCR1	DAZAP2
ADRA2A	GNAO1
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
CTNNB1	SOX2
SOX2	TEAD1
GNAI2	GNG5
GNG5	GOLGA2
GNAI2	MDFI
MDFI	PIDD1
PIDD1	TEAD3
UCHL1	HSPA8
GNAO1	RGS20
RGS20	RUVBL2
UCHL1	CDK6
GNAO1	GABBR1
GABBR1	ATF4
CTNNB1	ELAVL1
MDFI	PRKAB2
RGS20	CREB5
ITCH	ERBB4
ERBB4	STAT5A
PLSCR1	EGFR
EGFR	STAT5B
TP53	STAT6
UCHL1	CDK4
CDK4	CEBPA
ITCH	SMAD7
UCHL1	TNFRSF1A
TNFRSF1A	SOS1
GNAI2	TRIP6
TRIP6	ABI2
ABI2	SOS2
UBE2I	FOS
CDK4	MYC
GNAI2	NUCB1
NUCB1	REL
REL	NFKB2
ADRA2B	UCHL1
CTNNB1	BRCA1
TP53	TFAP2A
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	SFPQ
CTNNB1	TCF3
CTNNB1	ESR1
UBE2I	STAT1
UBE2I	JUN
TP53	RELA
UCHL1	UBC
EIF2B1	GCD2
GCD2	TSA1
TSA1	YAP1
EIF2B1	GORASP2
GORASP2	GOLGA2
UBE2I	SUMO2
HNRNPL	HMGA1
HMGA1	ATF2
GORASP2	SHMT2
COPS5	PGRMC1
UBE2I	NR3C1
NR3C1	STAT5B
UBE2I	TRIM28
COPS5	SMAD7
CTNNB1	BTRC
BTRC	NFKB2
CREB3L1	CRH
CREB3L1	NPY
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
ATF6B	ARC
ATF4	ARC
GLI3	PTCH1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
JUN	RELA
LEF1	MYC
TCF7	BIRC5
ELK1	CCND2
CREB1	PCNA
CREBBP	FASLG
FOS	MMP9
MAPK10	JUN
STAT1	MYD88
CREBBP	CDKN1A
CREBBP	EGF
CREBBP	GAPDH
CREBBP	PFKFB3
CREBBP	TEK
EP300	CDKN1A
EP300	EGF
EP300	GAPDH
EP300	PFKFB3
EP300	TEK
HIF1A	CDKN1A
HIF1A	EGF
HIF1A	GAPDH
HIF1A	PFKFB3
HIF1A	TFRC
ARNT	EDN1
ARNT	FIGF
ARNT	BCL2
ARNT	TIMP1
ARNT	VEGFA
RELA	HIF1A
STAT3	HIF1A
YAP1	GLI2
YAP1	ID1
YAP1	ID3
YAP1	CCND1
YAP1	AREGB
YAP1	AXIN2
WWTR1	FGF1
WWTR1	BIRC5
WWTR1	AREG
SMAD1	ID4
SMAD2	SERPINE1
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT5A	CCND1
STAT6	MYC
PAX6	PDX1
BBC3	TP53
TP53	RRM2B
MYD88	IFNA7
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA17
TFAP2A	ADRA1A
CREB1	ADRB2
CEBPB	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
TP53	AQP1
ATF1	AQP3
TP53	BAK1
BRCA1	BCL2
MYBL1	BCL2
TP53	BCL2
WT1	BCL2
HIF1A	BNIP3
ATF1	BRCA1
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
POU2F1	CD79B
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
RELA	ICAM1
SPI1	ICAM1
ATF1	ID2
NFKB1	IER3
TFAP2A	ITGA2
HIF1A	ITGB2
JUND	PLAT
TFAP2A	PLAT
ATF1	PLAUR
E2F4	POLA
MYB	POLA
CREB1	POLD2
