CREB3L3	FOSB
CREB3L1	CRH
GLI3	PTCH1
GLI3	HHIP
TFDP2	CCNE2
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
RBPJ	FCER2
CTNNB1	CCND3
EGR3	FASLG
NFKB1	TNF
MAPK8	JUN
RELA	IL6
CREBBP	FIGF
CREBBP	SERPINE1
CREBBP	ANGPT4
CREBBP	PFKL
EP300	FIGF
EP300	SERPINE1
EP300	ANGPT4
EP300	PFKL
HIF1A	FIGF
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	EDN1
ARNT	EGF
ARNT	PFKFB1
ARNT	PFKFB3
ARNT	PFKL
ARNT	PGK1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD4	AXIN1
TP73	BBC3
TEAD2	CTGF
STAT4	CCND3
STAT5A	SOCS4
STAT5B	CCND2
STAT5B	SOCS5
PAX6	PDX1
HNF1A	HNF4G
CREB1	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
EPAS1	TGFB1
FOS	CDK4
MYC	CDK4
NFKB1	TRAF5
RELA	NOS2
FOXO3	RBL2
PPARA	ACSL3
PPARD	CPT1B
PPARG	ACSL6
RXRA	CYP7A1
RXRA	ACADL
CREB1	CD74
MAPK14	IL1B
MAPK14	IL12A
MAPK14	IL18
MAPK14	IL23A
MYD88	IFNA1
MYD88	IFNA4
MYD88	IFNA6
MAPK1	IL1A
MAPK3	IL12A
MAPK11	IL12A
MAPK9	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
RFX5	HLA-DRB3
RFX5	HLA-DRB4
RFXAP	LOC100507714
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C2
POU2F1	AKR1C3
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
SMAD1	ANKRD1
ESR1	APOE
PPARG	APOE
USF1	APOE
USF2	APOE
ATF3	ASNS
USF1	CALCA
USF2	CALCA
E2F+P170	CCNA2
MYC	CCNB1
USF1	CCND1
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
POU2F1	CD79B
CREB1	CYP11A1
JUN	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
JUN	F3
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
RARA	GADD45B
CREB1	GH2
NFIC	GH2
CREB1	IFNG
EGR1	IFNG
REL	IFNG
STAT1	IFNG
SPI1	IL1B
CEBPB	IL5
ETS2	IL5
JUND	IL5
POU2F2	IL5
SPI1	IL5
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
RARA	MIF
RARB	MIF
RARG	MIF
CEBPA	MMP11
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
CREB1	PLAT
JUND	PLAT
JUN	TFPI2
NFIC	TFPI2
ELK1	TNF
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
