ADRA1B	AP2M1
AP2M1	BCR
BCR	RB1
RB1	E2F4
AP2M1	UBC
UBC	E2F1
RB1	E2F2
RB1	E2F3
AP2M1	CLTC
CLTC	EP300
EP300	FOS
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
AP2M1	CSNK2B
CSNK2B	RXRA
AP2M1	SFPQ
SFPQ	NR3C1
NR3C1	RXRB
SFPQ	PPARG
PPARG	RXRG
EP300	HIF1A
EP300	CREB1
EP300	NFKB1
EP300	FOXO1
EP300	JUND
AP2M1	APC
APC	CREBBP
EP300	ARNT
SFPQ	SP1
AP2M1	RUVBL2
RUVBL2	ATF2
EP300	ETS1
AP2M1	HSPA8
HSPA8	UBE3A
UBE3A	CEBPA
EEF1A1	GADD45G
GADD45G	PPARA
HSP90AA1	NR3C2
HSPA8	POU2F1
POU2F1	SP4
EP300	USF2
CSNK2B	STAT5A
BCR	PTPN6
PTPN6	STAT5B
HSPA8	RELA
EP300	FOXO3
AP2M1	RALBP1
RALBP1	AMOTL2
AMOTL2	YAP1
AP2M1	AP1G1
AP1G1	JUN
SFPQ	SP3
EP300	ATF4
AP2M1	ITSN1
ITSN1	SOS1
AP2M1	CRK
CRK	SOS2
EP300	EGR1
AP2M1	SPTBN1
SPTBN1	SMAD3
SPTBN1	SMAD4
ADRA1D	AMFR
AMFR	TRIM28
TRIM28	E2F4
TRIM28	E2F1
ADRA1D	GOPC
GOPC	CDC42
CDC42	BCAR1
BCAR1	E2F2
TRIM28	E2F3
GOPC	RELA
RELA	FOS
GOPC	TGFBR2
TGFBR2	HSP90AA1
RELA	RXRA
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
RELA	HIF1A
AMFR	ATXN3
ATXN3	CREB1
RELA	NFKB1
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
ADRA1D	ACTA2
ACTA2	TPM1
TPM1	JUND
ABCA1	CREBBP
DTNA	NUP62
NUP62	SP1
EP300	ATF2
CDC42	KAT5
KAT5	CEBPA
