HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRDC3	ITCH
ITCH	TP53
ARRB2	RPA1
RPA1	TRIP12
TRIP12	PTF1A
PTF1A	RBPJL
ITCH	NOTCH1
NOTCH1	RBPJ
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	ATF2
ARRB2	NFKBIA
NFKBIA	ATF4
ARRB2	CAPN1
CAPN1	HIF1A
NFKBIA	NFKB1
ITCH	JUN
JUN	CREB3
ITCH	PTCH1
PTCH1	ATF6B
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
ARRDC3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	MCM3
MCM3	EPAS1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	PTGES3
PTGES3	NR3C2
ARRB2	STAT1
MAPK1	SP1
CREB3L1	CRH
CREB3L1	FOSB
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
STAT4	CCND3
STAT5B	CCND2
NKX2-2	INS
NEUROG3	NKX2-2
MAPK1	CDK4
RELA	GADD45B
PIK3CB	AKT2
RXRB	ILK
RFXAP	LOC100507714
TFAP2A	COL1A1
EGR1	COL2A1
POU2F2	HLA-DRA
POU5F1	HMGB2
CEBPA	ITGA2
JUND	PLAT
NFIC	PLAT
POU2F1	VWF
SMAD4	ZFP36
