CACNA1C	COPS5
COPS5	JUN
COPS5	APP
APP	MYC
COPS5	TP53
TP53	CREB1
TP53	TFAP2A
COPS5	HIF1A
CACNA1S	SRI
SRI	STAT3
STAT3	JUN
STAT3	PML
PML	MYC
STAT3	EP300
EP300	CREB1
EP300	TFAP2A
STAT3	HIF1A
CACNB1	APP
APP	MAPK8
MAPK8	JUN
APP	KAT5
KAT5	CREB1
MYC	TFAP2A
APP	MCM7
MCM7	HIF1A
CACNB3	CACNA1C
CACNB4	CBX3
CBX3	XRCC6
XRCC6	CREBBP
CREBBP	JUN
CBX3	PIM1
PIM1	MYC
CBX3	DNMT3B
DNMT3B	CREB1
XRCC6	TP53
CBX3	FAF1
FAF1	HIF1A
NR3C2	NR3C1
NR3C1	JUN
NR3C2	PSMC5
PSMC5	MYC
NR3C1	CREB1
NR3C2	SUMO1
SUMO1	TP53
NR3C2	UBE2I
UBE2I	HIF1A
AHR	EP300
EP300	JUN
EP300	MYC
EP300	HIF1A
CREBBP	TIMP1
PIK3CD	AKT1
PIK3R2	AKT2
NFKB1	CEBPG
SP1	GJA1
NFIC	GOT1
CEBPA	GPX4
TFAP2A	GPX4
E2F1	MYB
