DDC	RELA
RELA	NFKB1
RELA	SP1
RELA	JUN
RELA	EP300
EP300	MYB
RELA	ESR1
ESR1	SP2
EP300	RARA
RELA	TP53
RELA	NCOR2
NCOR2	RARB
NCOR2	PPARD
RELA	RXRA
RELA	NR3C1
NR3C1	RXRB
RELA	PPARA
PPARA	RXRG
RELA	CREBBP
RELA	HIF1A
EP300	ARNT
EP300	CREB1
EP300	SMAD7
EP300	TFAP2A
RELA	POU2F1
RELA	STAT3
RELA	SMAD3
SMAD3	LEF1
RELA	UBC
UBC	DAZAP2
DAZAP2	TCF7
RELA	AR
AR	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
STAT3	STAT1
EP300	ETS1
RELA	BRCA1
BRCA1	E2F4
EP300	MYC
BRCA1	ATF1
SMAD3	YAP1
STAT3	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
RELA	USF2
EP300	Cebpb
Cebpb	NFIC
BRCA1	FLI1
EP300	ETS2
EP300	JUND
SMAD3	CEBPA
POU2F1	SP4
NCOR2	RARG
RELA	PPARG
CREBBP	ELK1
BRCA1	JUP
EP300	STAT5A
NR3C1	STAT5B
EP300	STAT2
JUN	STAT4
STAT3	STAT6
EP300	ATF2
RELA	FOS
RELA	ATF4
RELA	SP3
STAT3	EGFR
EGFR	SOS1
ESR1	SOS2
RELA	MAPK14
MAPK14	HOXA5
RELA	HDAC3
HDAC3	CREB3
BRCA1	NFYA
NFYA	ATF6B
RELA	EZH2
EZH2	ELAVL1
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
BRCA1	CREB5
RELA	CEBPB
CREBBP	CREM
RELA	NFKB2
BRCA1	TRIM24
TRIM24	NR3C2
RELA	MDM2
MDM2	MYD88
JUP	MYC
JUP	CCND1
IFNG	ICAM1
TNF	ICAM1
TNF	VCAM1
CREB3	FOSB
CREB3	BDNF
CREB1	FOSB
CREB1	BDNF
ATF2	FOSB
ATF2	BDNF
ATF6B	FOSB
CREB3L4	FOSB
CREB3L4	BDNF
ATF4	FOSB
ATF4	BDNF
MAPK3	PDYN
CREB3L2	FOSB
CREB3L1	CRH
CREB3L1	NPY
GLI3	WNT4
GLI3	PTCH1
GLI3	HHIP
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER2
ARNTL	CRY1
ARNTL	PER1
ARNTL	RORA
ARNTL	RORC
ARNTL	BHLHE41
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
MYC	CCND1
MAPK14	CXCL1
RBPJ	CR2
ELK1	XIAP
ELK1	CCND2
CREB1	PCNA
CREBBP	FASLG
ATF6B	IL8
CREB3L2	IL8
STAT1	MYD88
CREBBP	CDKN1A
CREBBP	EGF
CREBBP	ENO1
CREBBP	BCL2
CREBBP	TEK
EP300	CDKN1A
EP300	EGF
EP300	ENO1
EP300	BCL2
EP300	TEK
HIF1A	CDKN1A
HIF1A	EGF
HIF1A	ENO1
ARNT	EDN1
ARNT	ENO1
YAP1	ID3
YAP1	ID4
YAP1	AXIN2
YAP1	NKD1
WWTR1	AREG
WWTR1	SERPINE1
TCF7	SNAI2
TCF7	SOX2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	CCND2
TEAD4	CTGF
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	BIRC5
TEAD3	CCND1
TP73	BBC3
TCF7L1	BIRC2
