HTR2A	CBL
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NFIC
CBL	SMAD3
SMAD3	JUN
GRB2	EP300
EP300	TFAP2A
CBL	HSPA4
HSPA4	NFKB1
EP300	ETS1
HTR2C	CALM1
CALM1	HSP90AA1
HTR2C	DLG4
DLG4	MDM2
MDM2	JUN
HTR2C	LIN7C
LIN7C	APC
APC	TFAP2A
CALM1	DCUN1D1
DCUN1D1	NFKB1
DLG4	ACTN2
ACTN2	SP100
SP100	ETS1
SLC6A4	SNCA
SNCA	EEF1A1
EEF1A1	HSP90AA1
SNCA	MAPK8
MAPK8	JUN
SNCA	APP
APP	MYC
MYC	TFAP2A
SNCA	HSPA4
APP	MAPK7
MAPK7	ETS1
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	SMURF1
SMURF1	NFIC
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
YWHAQ	E2F1
E2F1	NFKB1
YWHAQ	NCOA3
NCOA3	ETS1
SLC6A2	SNCA
SLC6A2	ACTB
ACTB	EP300
SLC6A3	TGFB1I1
TGFB1I1	SMAD3
SMAD3	SMURF1
SLC6A3	EPS15
EPS15	TFAP2A
TGFB1I1	NR3C1
NR3C1	NFKB1
SMAD3	EP300
ADRA1B	AP2M1
AP2M1	EEF1A1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	EPS15
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
ADRA2A	UCHL1
UCHL1	HSP90AA1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
UCHL1	COPS5
COPS5	NFKB1
UCHL1	UBE2I
UBE2I	ETS1
TCF7	BIRC5
RELA	PTGS2
PIK3CD	AKT3
E2F4	CAV1
SP1	CAV1
SPI1	ICAM1
MYC	ID2
ATF1	ID2
ATF1	JUN
ATF2	JUN
CREB1	JUN
NFIC	VWF
