NISCH	IRS1
IRS1	UBC
UBC	ATF6
IRS1	IGF1R
IGF1R	TP53
IRS1	SIRT1
SIRT1	JUN
IRS1	ESR1
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
ESR1	HIF1A
EP300	ARNT
ESR1	STAT3
IRS1	APP
APP	MYC
GRB2	RUVBL1
RUVBL1	LEF1
UBC	DAZAP2
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
IRS1	AKT1
AKT1	CTNNB1
CTNNB1	TCF7L1
APP	TAF6
TAF6	YAP1
IRS1	INSR
INSR	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
ESR1	SP1
APP	MAPK7
MAPK7	ETS1
IRS1	PTK2
PTK2	STAT1
APP	ELK1
INSR	STAT5A
INSR	STAT5B
AKT1	PIAS2
PIAS2	STAT4
IRS1	HDAC2
HDAC2	SMAD7
MYC	TFAP2A
AKT1	CREB1
GRB2	SOS1
GRB2	SOS2
EP300	STAT2
IRS1	JAK3
JAK3	STAT6
SIRT1	FOS
IRS1	SOCS3
SOCS3	NFKB1
GRB2	HSP90AA1
HSP90AA1	NFIC
EP300	ATF4
APP	HSPA8
HSPA8	POU2F1
APP	MAPK8
MAPK8	ATF2
GRB2	ENO1
ENO1	E2F4
APP	KAT5
KAT5	MAX
ESR1	HDAC3
HDAC3	CREB3
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	CREB3L2
HDAC2	RUNX1T1
RUNX1T1	CREB3L1
ESR1	RELA
IRS1	PIK3CA
PIK3CA	SMAD3
ESR1	MAPK1
APP	SNCA
SNCA	MAPK3
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND3
CREBBP	FASLG
RELA	IL6
CREBBP	EGF
CREBBP	PFKL
EP300	EGF
EP300	PFKL
HIF1A	EGF
HIF1A	TIMP1
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	ITGB2
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT3	SOCS2
STAT3	CCND3
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	ACADL
MAPK1	IL12B
MAPK3	IL12A
MAPK11	IL6
RFXANK	HLA-DMA
LEF1	PPARD
TP53	BAK1
ATF1	BCL2
CEBPA	BCL2
MYBL1	BCL2
TP53	BCL2
WT1	BCL2
HIF1A	BNIP3
ATF1	BRCA1
E2F4	CAV1
SP1	CAV1
TP53	CAV1
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
SP1	GJA1
NFIC	GOT1
CEBPA	GPX4
TFAP2A	GPX4
POU2F2	HLA-DRA
POU5F1	HMGB2
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
POU2F2	MYC
REL	TNFSF10
ERG	TNNC1
FLI1	TNNC1
JUN	TNNC1
SMAD2	TNNC1
SMAD3	TNNC1
SP3	TNNC1
SP3	TNPO1
ETS1	VWF
NFIC	VWF
POU2F1	VWF
SMAD4	ZFP36
