GLI3	WNT5A
TP53	GADD45A
MAPK11	IL8
RBPJL	FCER2
ELK1	BIRC2
NFAT5	TNF
ATF2	IL8
EGR2	FASLG
IRF3	IFNB1
NFKB1	IL6
RELA	MMP9
CREB5	IL8
CREBBP	CDKN1B
CREBBP	ALDOA
CREBBP	ANGPT1
CREBBP	NOS3
CREBBP	PGF
CREBBP	VEGFC
EP300	CDKN1B
EP300	ALDOA
EP300	ANGPT1
EP300	NOS3
EP300	PGF
EP300	VEGFC
HIF1A	CDKN1B
HIF1A	ALDOA
HIF1A	ANGPT1
HIF1A	NOS3
SOS1	BCL2L1
SOS1	SPRY4
SOS2	SPRED1
STAT1	CCND1
STAT1	SOCS1
STAT1	CCND2
RBPJ	PTCRA
RBPJ	HES5
TP53	SHISA5
TP53	SERPINB5
TP53	PTEN
TP53	BAX
TP53	ZMAT3
TP53	THBS1
TP53	TP53I3
NFKB1	PGF
JUN	FIGF
JUN	VEGFC
MAX	CKS1B
NFKB2	BIRC3
NFKB2	TRAF1
NFKB2	TRAF5
ATF4	BCL2
CREB3L1	BCL2
PPARA	CYP4A11
PPARA	DBI
PPARD	ACADL
PPARD	ACOX2
PPARG	CPT1B
PPARG	ACSL1
RXRA	CYP27A1
RXRA	ACSL4
RXRA	SCP2
RXRA	SCD5
RXRB	CPT1C
RXRB	CPT1B
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	EHHADH
RXRB	FABP1
RXRB	GK
RXRB	ACAA1
RXRB	ACADL
RXRB	APOA2
RXRB	ACOX2
RXRB	CD36
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1B
RXRG	CYP4A11
RXRG	EHHADH
EGR1	CCL5
MAPK8	IL8
MAX	CCND1
SMAD2	PITX2
SMAD5	ID3
SMAD9	ID3
FOS	IL12A
FOS	CCL3
FOS	CCL4L1
IRF3	CD80
IRF5	IL8
IRF5	CCL3
IRF7	IFNA2
IRF7	IFNA7
IRF7	IFNA8
NFKB1	CEBPG
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DPA1
NFYC	HLA-DPB1
NFYC	HLA-DQA1
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3L2	AQP2
CREB3L3	AQP2
CREB3L1	AQP2
LEF1	ADA
E2F3	CDC45
E2F4	CDC6
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
SP1	CEACAM5
USF1	CEACAM5
USF2	CEACAM5
USF1	CEACAM6
USF2	CEACAM6
ATF2	CGA
ATF4	CGA
CREB1	CGA
ETS1	COX4I1
SP1	COX4I1
RARA	CRABP2
SP1	GH2
EGR1	IL2
EGR4	IL2
ETS2	IL2
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
NFKB1	LTA
JUN	MAT2A
NFKB1	MAT2A
SP2	MAT2A
SP1	MAT2B
NFIC	MBP
ETS1	TFRC
POU2F1	TNF
