HTR1B	MDFI
MDFI	KAT5
KAT5	TP53
KAT5	CREB1
KAT5	ESR1
KAT5	EP300
EP300	NFKB1
KAT5	RELA
MDFI	MYOD1
MYOD1	CREBBP
MDFI	VHL
VHL	HIF1A
EP300	ARNT
KAT5	BRCA1
BRCA1	ATF1
BRCA1	ELK4
KAT5	SRF
MDFI	NAB2
NAB2	TOP1
TOP1	ELK3
KAT5	UBE2I
UBE2I	PPARA
MDFI	PIN1
PIN1	PPARG
EP300	TFAP2A
KAT5	GADD45G
GADD45G	PPARD
KAT5	RB1
RB1	TFDP2
EP300	FOS
KAT5	APP
APP	ELK1
PIN1	SMAD2
SMAD2	ETV4
MDFI	CREB5
CREB5	JUND
PIN1	JUN
EP300	ETS1
PIN1	RARA
MYOD1	STAT3
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	FOS
S1PR1	TRIP6
TRIP6	STK16
STK16	ELK1
WWP2	SMAD2
HTR1A	S1PR1
TRIP6	PTK2
PTK2	TP53
HTR1A	HTR1D
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	ESR1
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
SMAD3	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
GNAI3	ALG6
ALG6	GEP3
GEP3	ATF1
GNAI3	XPO1
XPO1	ELAVL1
ELAVL1	ELK4
WWP2	SMAD7
SMAD7	SRF
TRIP6	RPS14
RPS14	TOP1
NCOA1	PPARA
XPO1	PPARG
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
GNAI3	CAPNS1
CAPNS1	PPARGC1A
PPARGC1A	PPARD
E2F1	TFDP2
TRIP6	CREB5
CREB5	JUN
YWHAQ	NCOA3
NCOA3	ETS1
TRIP6	AJUBA
AJUBA	RARA
GNAI3	GNB2
GNB2	STAT3
NR3C2	ATP1A3
GLI3	GLI1
GLI3	BMP2
ATF2	PCNA
SMAD3	MYC
NFKB1	TNF
CREBBP	EDN1
CREBBP	HK1
CREBBP	SERPINE1
EP300	EDN1
EP300	HK1
EP300	SERPINE1
HIF1A	EDN1
HIF1A	HK1
HIF1A	SERPINE1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT4	SOCS2
STAT5B	SOCS1
CREB1	MITF
LEF1	MITF
TCF7	MITF
RXRG	FABP4
IRF7	IFNA10
NFYC	LOC100509457
NFYC	LOC101060835
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF1	XRCC6
USF1	SERPINE1
TFAP2A	ADRA1A
CREB1	ADRB2
NFIC	AFP
NFKB1	AKR1B1
E2F1	APAF1
TP53	APCS
SP1	APEX1
USF1	APEX1
EGR1	APOA1
USF2	APOE
CREB1	CYP11A1
TFAP2A	GH2
USF1	GH2
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
E2F4	POLA
ESR1	TFF1
NFKB1	TFPI2
