IFNG	IDO1
CREB3	CRH
CREB1	CRH
ATF2	CRH
ATF6B	CRH
CREB3L4	NPY
ATF4	NPY
CREB3L2	CRH
CREB3L1	NPY
CREB3L1	BDNF
GLI3	WNT7A
GLI3	WNT5B
E2F1	CCNE2
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
STAT5A	MYC
MAPK1	IL12B
NFATC1	PTGS2
NFATC2	PTGS2
NFATC3	PTGS2
TCF7L2	MMP7
TCF7L2	FOSL1
TCF7L1	JUN
TCF7L1	MMP7
E2F4	CAV1
POU2F2	HLA-DRA
ATF2	HLA-E
POU5F1	HMGB2
CEBPE	MYC
ESR1	MYC
CREB1	NRAS
ATF1	NTS
JUND	NTS
WT1	ODC1
BRCA1	PCNA
SP3	PDGFB
TFAP2A	PDHA1
FOS	PENK
TFAP2A	PLAT
EGR1	PLAU
ATF1	TG
USF1	THBS1
SMAD3	TIMP1
POU2F1	VWF
SMAD4	ZFP36
