NQO2	TP53
TP53	TFAP2A
TP53	EP300
EP300	NFKB1
TP53	RELA
EP300	CEBPB
TP53	PML
PML	JUN
PML	FOS
TP53	HSP90AA1
HSP90AA1	NFIC
TP53	CREB1
TP53	ETS1
TP53	BRCA1
BRCA1	ATF1
EP300	REL
EP300	CEBPD
CSNK2A1	BRCA1
BRCA1	TFAP2A
CSNK2A1	RELA
RELA	NFKB1
BRCA1	CEBPB
CSNK2A1	JUN
CSNK2A1	PML
CSNK2A1	HSP90AA1
BRCA1	CREB1
BRCA1	ETS1
CSNK2A1	ATF1
RELA	REL
RELA	CEBPD
PTGS1	CAV1
CAV1	PPARG
PPARG	TFAP2A
PTGS1	PTGS2
PTGS2	EP300
CAV1	ESR1
ESR1	RELA
CAV1	EGFR
EGFR	CEBPB
CAV1	CSK
CSK	JUN
EP300	FOS
PTGS1	PTGIS
PTGIS	HSP90AA1
CAV1	PPP1CA
PPP1CA	CREB1
EP300	ETS1
CAV1	CTNNB1
CTNNB1	BRCA1
CAV1	BID
BID	REL
EP300	TFAP2A
EP300	RELA
EP300	JUN
EP300	Cebpb
Cebpb	NFIC
EP300	CREB1
EP300	BRCA1
STAT4	SOCS1
STAT4	SOCS5
STAT5B	CCND1
STAT5B	SOCS3
RXRA	PLIN1
RXRB	ACSL4
E2F4	CAV1
SP1	CAV1
USF1	CCND1
EGR1	CD9
SP1	CD9
SP1	CD99
MYC	CDC25A
E2F1	CDC25A
BRCA1	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
CEBPB	IGF2
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
SP1	IL1A
ATF1	IL1B
