STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
VDR	SLC34A2
PIK3R2	AKT3
CREB1	CD74
MAPK14	IL12A
MAPK14	IL23A
MYD88	IFNA4
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
MAPK8	IL23A
LEF1	PPARD
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L1	JUN
TCF7L1	MMP7
TCF7L1	PPARD
ATF3	ASNS
ATF4	ASNS
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	EGFR
JUN	F3
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
FLI1	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
ATF4	HPGD
CREB1	HPGD
E2F1	MYB
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
