PDE4A	SQSTM1
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
SQSTM1	MAPK1
MAPK1	SP1
MAPK1	ESR1
MAPK1	JUN
SQSTM1	YWHAZ
YWHAZ	TP53
YWHAZ	YWHAQ
YWHAQ	YAP1
YWHAZ	CTNNB1
CTNNB1	LEF1
SQSTM1	UBC
UBC	DAZAP2
DAZAP2	TCF7
SQSTM1	FUS
FUS	TCF7L2
CTNNB1	TCF7L1
MAPK1	CREBBP
MAPK1	EP300
SQSTM1	HIF1A
HIF1A	ARNT
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	BCL2
BCL2	MYC
MAPK1	SMAD3
SQSTM1	tat
tat	POU2F1
MAPK1	PGR
SQSTM1	BAG3
BAG3	TFAP2A
MAPK1	JUND
SQSTM1	NTRK1
NTRK1	STAT3
NTRK1	SOS1
NTRK1	SOS2
YWHAZ	ABL1
ABL1	FOS
SQSTM1	MYD88
TP53	EGR1
PDE4B	MAGEA11
MAGEA11	EP300
EP300	NFKB1
EP300	RELA
EP300	SP1
EP300	ESR1
EP300	JUN
EP300	TP53
EP300	SMAD3
SMAD3	YAP1
EP300	CTNNB1
EP300	PLSCR1
PLSCR1	DAZAP2
MAGEA11	AR
AR	TCF7L2
EP300	CREBBP
EP300	HIF1A
EP300	ARNT
EP300	CREB1
EP300	MYC
MAGEA11	NR3C1
NR3C1	POU2F1
MAGEA11	PGR
EP300	TFAP2A
EP300	JUND
EP300	STAT3
NR3C1	LCK
LCK	SOS1
ESR1	SOS2
EP300	FOS
EP300	HDAC6
HDAC6	MYD88
EP300	EGR1
PDE4C	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	SP1
STAT3	EP300
STAT3	JUN
SRI	ANXA7
ANXA7	TP53
STAT3	PML
PML	YAP1
STAT3	SMAD1
SMAD1	LEF1
STAT3	MAP3K7
MAP3K7	DAZAP2
PML	TCF7L2
PML	CTNNB1
SRI	TCF12
TCF12	CREBBP
STAT3	HIF1A
PML	ARNT
PML	MYC
TCF12	SMAD3
RELA	POU2F1
STAT3	PGR
STAT3	EGFR
EGFR	SOS1
EGFR	SOS2
PML	FOS
STAT3	IL1RAP
IL1RAP	MYD88
PDE4D	APP
APP	GSK3B
GSK3B	NFKB1
PDE4D	MDM2
MDM2	RELA
APP	MAPK8
MAPK8	SP1
MDM2	ESR1
MDM2	JUN
PDE4D	LYN
LYN	TP53
APP	TAF6
TAF6	YAP1
PDE4D	ARRB2
