ACE	ACTB
ACTB	EP300
EP300	SP1
EP300	CEBPB
EP300	REL
MMP2	TGFB1
TGFB1	SMAD3
SMAD3	SP1
SMAD3	CEBPB
MMP2	ITGB1
ITGB1	FLNA
FLNA	REL
MMP9	TGFB1
SMAD3	EP300
LTA4H	TAGLN2
TAGLN2	PIN1
PIN1	SP1
LTA4H	SIRT1
SIRT1	RB1
RB1	CEBPB
TAGLN2	FKBP1B
FKBP1B	REL
CEBPB	CSRP1
REL	CSRP1
CEBPB	IL1A
SP1	IL1A
SP1	PLAU
SP1	SERPINB2
