DDC	RELA
RELA	TP53
RELA	NFKB1
RELA	HIF1A
RELA	CREBBP
RELA	EP300
EP300	ARNT
RELA	CEBPB
RELA	SMAD4
EP300	SMAD2
RELA	SMAD3
RELA	JUN
RELA	NFKB2
EP300	ETS1
RELA	STAT3
ELK1	XIAP
ELK1	CCND2
CREB3L4	IL8
IRF3	IFNB1
CREB3L2	IL8
STAT1	MYD88
CREBBP	ENO3
CREBBP	ANGPT1
CREBBP	BCL2
CREBBP	TEK
EP300	ENO3
EP300	ANGPT1
EP300	BCL2
EP300	TEK
HIF1A	ENO3
HIF1A	ANGPT1
STAT5A	CCND1
STAT6	MYC
MITF	TYR
VDR	ATP2B1
PIK3CB	AKT2
RBPJL	HES1
TP53	RCHY1
TP53	RRM2B
TP53	PIDD
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
LEF1	JUN
LEF1	PPARD
EGR2	ABCB1
HIF1A	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
NFKB1	ICAM1
RARA	MIF
RARG	MIF
CEBPA	MMP11
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
