ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	UBL4A
UBL4A	TXN
TXN	NFKB1
UBL4A	NPM1
NPM1	TFAP2A
UBL4A	KPNA2
KPNA2	RELA
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
UBL4A	HSP90AA1
HSP90AA1	ARNT
HSP90AA1	PPARD
UBL4A	SMN1
SMN1	RXRA
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
ITGB1	TUBA1A
TUBA1A	MYC
CD44	STAT3
COL1A1	RNH1
RNH1	PTGES3
PTGES3	NR3C2
RNH1	SDCBP
SDCBP	FOXP2
FOXP2	SP4
IGF1R	CSK
CSK	JUN
UBL4A	C1QBP
C1QBP	CEBPA
UBL4A	NCL
NCL	SP1
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	P4HB
P4HB	VCP
VCP	NFKB2
HSP90AA1	MAX
IGF1R	KCNIP3
KCNIP3	CREM
FN1	SMAD4
SMAD4	ATF2
TP53	ETS1
HSP90AA1	NFIC
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
IGF1R	ESR1
CREB3	NPY
CREB1	NPY
CREB3L1	NPY
CREB3L1	BDNF
ATF6B	FOS
ATF4	FOS
GLI3	HHIP
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
JUN	CCND2
CREB1	PCNA
ATF4	PCNA
CREB3L3	IL8
CREBBP	CDKN1A
CREBBP	HK3
CREBBP	TFRC
EP300	CDKN1A
EP300	HK3
EP300	TFRC
HIF1A	CDKN1A
HIF1A	HK3
TEAD4	AXIN2
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT4	CCND1
STAT5A	SOCS4
STAT5A	SOCS2
STAT5B	SOCS4
STAT5B	MYC
STAT5B	SOCS5
STAT6	CCND1
RELA	CCL4L1
PIK3R1	AKT2
PIK3R2	AKT1
RBPJL	HES5
TP53	SESN3
TP53	IGFBP3
TP53	RPRM
HIF1A	TGFB1
HIF1A	TGFB2
CREB1	BCL2
ATF2	BCL2
PPARA	ACOX1
PPARA	ACSL5
PPARG	UCP1
PPARG	ACSBG2
RXRA	APOA2
MAPK1	IL12B
MAPK1	IL18
MAPK1	NOS2
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
MAPK13	IL23A
RELA	CEBPB
RELA	IL18
RELA	IL23A
LEF1	PPARD
PPARG	APOE
USF1	APOE
USF2	APOE
ATF3	ASNS
USF1	CALCA
USF2	CALCA
E2F4	CAV1
SP1	CAV1
USF1	CCND1
NFKB1	CSF1
ETS1	CSF2
CREB1	CYP11A1
JUNB	DCN
NFKB1	ICAM1
REL	IFNG
STAT1	IFNG
FOS	NTS
CREB1	ODC1
TFAP2A	PLAT
EGR1	PLAU
ETS1	PRL
CEBPD	PTGS2
NFIC	TFPI2
SP3	TNF
SPI1	TNF
ETS1	TNNC1
NFKB1	TNNC1
SMAD4	TNNC1
TFAP2A	TNPO1
