PDE4A	SQSTM1
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	YWHAZ
YWHAZ	ENO1
ENO1	E2F4
SQSTM1	BAG3
BAG3	TFAP2A
SQSTM1	NCOR1
NCOR1	ETS2
SQSTM1	BCL2
BCL2	HSP90AA1
HSP90AA1	NFIC
SQSTM1	SNCA
SNCA	ELK1
SQSTM1	CUL1
CUL1	E2F1
YWHAZ	BCAR1
BCAR1	E2F2
SQSTM1	FAS
FAS	RB1
RB1	E2F3
SQSTM1	tat
tat	POU2F1
SQSTM1	PRKCZ
PRKCZ	RELA
NCOR1	ETS1
SQSTM1	FUS
FUS	TP73
SQSTM1	MAPK1
MAPK1	SP1
MAPK1	JUN
YWHAZ	TP53
SQSTM1	MAPK14
MAPK14	CREB1
TP53	EGR1
SQSTM1	NTRK1
NTRK1	STAT3
NTRK1	STAT1
BCL2	MYC
YWHAZ	YWHAQ
YWHAQ	YAP1
YWHAZ	ABL1
ABL1	FOS
YWHAZ	RFWD2
RFWD2	ETV4
MAPK1	CREBBP
MAPK1	EP300
SQSTM1	HIF1A
HIF1A	ARNT
YWHAZ	NFATC4
NFATC4	CEBPA
MAPK1	HSF1
SQSTM1	RARA
BCL2	ITLN1
ITLN1	SP3
MAPK1	RXRA
RARA	RXRB
CUL1	RXRG
NCOR1	PPARA
YWHAZ	CTNNB1
CTNNB1	LEF1
SQSTM1	UBC
UBC	DAZAP2
DAZAP2	TCF7
FUS	TCF7L2
CTNNB1	TCF7L1
YWHAZ	WWTR1
WWTR1	TEAD1
SNCA	VPS52
VPS52	TEAD4
WWTR1	TEAD3
SQSTM1	CAMK2A
CAMK2A	ATF1
PDE4B	MAGEA11
MAGEA11	EP300
EP300	NFKB1
MAGEA11	RB1
RB1	E2F4
EP300	TFAP2A
EP300	ETS2
PDE4B	PAFAH1B1
PAFAH1B1	HSP90AA1
PDE4B	RCBTB2
RCBTB2	UBE2I
UBE2I	ELK1
MAGEA11	E2F1
RB1	E2F2
MAGEA11	NR3C1
NR3C1	POU2F1
EP300	RELA
EP300	ETS1
EP300	TP73
EP300	SP1
EP300	JUN
EP300	TP53
EP300	CREB1
EP300	EGR1
EP300	STAT3
EP300	STAT1
EP300	MYC
EP300	SMAD3
SMAD3	YAP1
EP300	FOS
EP300	TP63
TP63	ETV4
EP300	CREBBP
EP300	HIF1A
EP300	ARNT
MAGEA11	MTA1
MTA1	CEBPA
MTA1	HSF1
EP300	RARA
EP300	SP3
EP300	RXRA
NR3C1	RXRB
EP300	PPARG
