HTR2A	CBL
CBL	BAG1
BAG1	RARA
CBL	SMAD3
SMAD3	NCOA1
NCOA1	RARB
CBL	CTNNB1
CTNNB1	SP1
CBL	YWHAZ
YWHAZ	TP53
CBL	HSPA8
HSPA8	RELA
CTNNB1	CREBBP
CBL	GRB2
GRB2	EP300
CTNNB1	HIF1A
EP300	ARNT
SMAD3	JUN
CBL	HSPA4
HSPA4	NFKB1
YWHAZ	AJUBA
AJUBA	RARG
CTNNB1	ESR1
GRB2	TSG101
TSG101	NFKB2
CBL	EGFR
EGFR	STAT3
CTNNB1	PPARD
CBL	MAPK8
MAPK8	MYC
EP300	EGR1
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
GRB2	HSP90AA1
HSP90AA1	PPARA
DRD2	PAWR
PAWR	SQSTM1
SQSTM1	RARA
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	NCOA1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
FLNA	REL
REL	RELA
REL	CREBBP
REL	EP300
COPS5	HIF1A
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	ARNT
FLNA	RBM39
RBM39	JUN
REL	NFKB1
FLNA	SRRM2
SRRM2	MRPL12
MRPL12	RARG
CALM1	ESR1
REL	NFKB2
PAWR	STAT1
STAT1	STAT3
HSP90AA1	PPARD
EPB41L1	APP
APP	MYC
CDKN2A	EGR1
FLNA	LMNA
LMNA	PML
PML	RXRA
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
JUN	CCND2
CREB3	PCNA
CREB1	PCNA
ATF6B	IL8
EGR3	FASLG
CREB3L3	IL8
CREB3L1	PCNA
CREBBP	CDKN1A
CREBBP	ENO1
CREBBP	FIGF
CREBBP	TFRC
CREBBP	VEGFB
EP300	CDKN1A
EP300	ENO1
EP300	FIGF
EP300	TFRC
EP300	VEGFB
HIF1A	CDKN1A
HIF1A	ENO1
HIF1A	FIGF
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
STAT5B	SOCS4
HNF1A	HNF4G
MAPK1	CCND1
PIK3R2	AKT1
EPAS1	VEGFC
HIF1A	TGFB1
IRF8	IL12A
CREB1	BCL2
PPARA	APOA1
PPARA	ACOX1
PPARG	OLR1
PPARG	UCP1
MAPK1	IL18
MAPK1	NOS2
E2F+P170	CCNA2
MYC	CCNB1
PPARA	CYP1A1
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
NFKB1	ICAM1
RELA	IL2
CEBPB	IL5
ETS2	IL5
JUND	IL5
POU2F1	IL5
SPI1	IL5
E2F1	MYB
