DDC	RELA
RELA	BRCA1
BRCA1	TRIM24
TRIM24	NR3C2
RELA	NFKB1
RELA	SP1
RELA	POU2F1
RELA	NR3C1
NR3C1	POU2F2
RELA	JUN
RELA	STAT3
STAT3	PML
RELA	EP300
EP300	ZBTB16
EP300	TFAP2A
RELA	TP53
EP300	RARA
RELA	ATF4
ATF4	CEBPE
RELA	PPARG
RELA	SMAD3
EP300	MYC
RELA	RXRA
NR3C1	RXRB
RELA	PPARA
PPARA	RXRG
STAT3	PGR
SMAD3	CEBPA
RELA	ESR1
STAT3	STAT1
BRCA1	E2F4
EP300	Cebpb
Cebpb	NFIC
RELA	EGR1
EP300	CREB1
EP300	STAT5A
NR3C1	STAT5B
JUN	STAT4
RELA	FOS
EP300	ETS1
RELA	TBP
TBP	SPI1
EP300	MYBL2
STAT3	EGFR
EGFR	SOS1
ESR1	SOS2
EP300	IRF5
RELA	MDM2
MDM2	MYD88
SMAD3	IRF7
RELA	NCOR2
NCOR2	PPARD
RELA	CEBPB
EP300	FOXO3
EP300	FOXO1
PML	CCNA1
RARA	CCNA1
ZBTB16	CCNA1
CREB3L2	BDNF
CREB5	BDNF
GLI3	PTCH1
NPAS2	PER2
CLOCK	RORC
MAPK14	CXCL1
MAPK11	IL8
RBPJL	FCER2
LEF1	AXIN1
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
SOS1	SPRY4
STAT5A	SOCS7
STAT6	SOCS4
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELA	TRAF1
RELB	CCL13
PIK3R5	AKT1
PIK3CA	AKT1
PIK3CD	PDPK1
PIK3R1	AKT3
PLCG2	EGFR
RBPJL	PTCRA
NFKB1	VEGFC
EPAS1	VEGFB
MAX	CKS1B
MYC	VEGFC
NFKB2	TRAF5
PIAS2	CDKN2B
FOXO3	CDKN1B
PPARA	DBI
PPARA	HMGCS2
PPARA	ACSBG2
PPARG	ACSL1
PPARG	MMP1
RXRA	APOA5
RXRA	ACSBG1
RXRA	UBC
RXRA	UCP1
RXRA	SCD5
RXRB	CPT1A
RXRB	CPT1B
RXRB	CYP8B1
RXRB	FABP4
RXRB	GK2
RXRB	CYP4A22
RXRB	ACAA1
RXRG	APOA5
RXRG	CPT2
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	JUN
TCF7L1	MMP7
TCF7L1	PPARD
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
E2F3	CDC45
E2F4	CDC6
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
MYC	EIF4E
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETV4	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
ETS1	FOSL1
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
POU2F1	HIST2H2BE
FOS	HLA-DRA
CREB1	IL2
CREM	IL2
CEBPB	IL4
NFKB1	LTA
JUN	MAT2A
NFKB1	MAT2A
SP2	MAT2A
SP1	MAT2B
NFIC	MBP
RARA	MIF
RARG	MIF
CEBPA	MMP11
ERG	MMP2
MYB	NCL
TP53	NFIC
BCL3	NFKB2
SP3	PFKP
RARA	PLAU
JUN	TFPI2
STAT1	TP53
FOS	TSHB
