HTR2A	CBL
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NFIC
GRB2	EP300
EP300	TFAP2A
CBL	SMAD3
SMAD3	E2F4
CBL	MAPK8
MAPK8	HSF1
CBL	YWHAZ
YWHAZ	TP53
MAPK8	MYC
SMAD3	JUN
CBL	ABL1
ABL1	CREB1
EP300	ETS1
CBL	CTNNB1
CTNNB1	SP1
SMAD3	ATF2
EP300	ATF4
CTNNB1	COPS5
COPS5	CREB3
CTNNB1	ELAVL1
ELAVL1	CREB3L2
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
CTNNB1	HIF1A
CBL	HSPA4
HSPA4	NFKB1
CBL	EGFR
EGFR	STAT3
CBL	YWHAQ
YWHAQ	E2F1
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
SMAD3	YAP1
CTNNB1	SOX2
SOX2	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
SMAD3	MAX
GRB2	KRT15
KRT15	CREB5
CBL	HSPA8
HSPA8	RELA
DRD2	CALM1
CALM1	HSP90AA1
DRD2	FLNA
FLNA	LMNA
LMNA	RB1
RB1	TFAP2A
CALM1	AR
AR	E2F4
FLNA	FILIP1
FILIP1	HSF1
FLNA	RANBP2
RANBP2	TP53
DRD2	EPB41L1
EPB41L1	APP
APP	MYC
FLNA	RBM39
RBM39	JUN
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
FLNA	REL
REL	EP300
PPP1R9B	CDKN2A
CDKN2A	SP1
LMNA	PML
PML	ATF2
DRD2	PAWR
PAWR	SHMT2
SHMT2	ATF4
EPB41L1	COPS5
REL	CEP19
CEP19	CREB3L2
COPS5	PGRMC1
PGRMC1	CREB3L1
COPS5	HIF1A
REL	NFKB1
PAWR	STAT1
STAT1	STAT3
CDKN2A	E2F1
LMNA	CTNNB1
REL	ATXN1
