DDC	RELA
RELA	HSPA8
HSPA8	ERG
RELA	TP63
TP63	ETV4
RELA	NFKB1
RELA	HIF1A
RELA	CREBBP
RELA	EP300
EP300	ARNT
RELA	SP1
RELA	JUN
RELA	BRCA1
BRCA1	PAX2
RELA	EGR1
RELA	TP53
RELA	FOS
RELA	ESR1
EP300	EPAS1
EP300	MYC
RELA	STAT3
STAT3	STAT1
EP300	ETS1
EGR3	FASLG
MAPK9	SMAD4
CREBBP	FIGF
CREBBP	PFKFB2
EP300	FIGF
EP300	PFKFB2
HIF1A	FIGF
HIF1A	PFKFB2
HNF1A	HNF4G
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
RELA	PLAU
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
RBPJL	PTCRA
RXRG	EHHADH
IRF7	IFNA8
ATF3	ASNS
E2F+P170	CCNA2
MYC	CCNB1
USF1	CCND1
CEBPB	IL5
ETS1	IL5
ETS2	IL5
SPI1	IL5
ETS1	MMP3
ETS2	MMP3
ETV4	MMP3
FLI1	MMP3
FOS	MMP3
NFKB1	MMP3
RELA	MMP3
ETV4	MMP9
FLI1	MMP9
CEBPE	MYC
ESR1	MYC
