ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	FN1
FN1	RARA
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD2
SMAD2	RARB
COL1A1	UBL4A
UBL4A	C1QBP
C1QBP	MRPL12
MRPL12	RARG
C1QBP	CEBPA
IGFBP3	IGF1R
IGF1R	TP53
TP53	EGR1
FN1	HDAC1
HDAC1	GLI1
HDAC1	GLI2
COL1A1	ITGB1
ITGB1	PRKCA
PRKCA	GLI3
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
UBL4A	NCL
NCL	SP1
UBL4A	NPM1
NPM1	TFAP2A
IGF1R	CSK
CSK	JUN
FN1	UBE2L3
UBE2L3	FOS
TP53	ETS1
ITGB1	TUBA1A
TUBA1A	MYC
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
ITGB1	GNB2L1
GNB2L1	HIF1A
UBL4A	HSP90AA1
HSP90AA1	ARNT
UBL4A	RAB1A
RAB1A	CREB1
UBL4A	HSPA8
HSPA8	ERG
TP53	IRF7
IGF1R	MDM2
MDM2	MYD88
UBL4A	FUS
FUS	SPI1
ITGB1	PTK2
PTK2	SAE1
SAE1	ETV4
XRCC6	POU2F1
COL1A1	P4HB
P4HB	VCP
VCP	NFKB2
IGF1R	ESR1
ESR1	SP3
NPM1	EPAS1
PTK2	STAT1
EP300	USF2
FN1	SMAD4
GLI1	WNT2
GLI1	WNT5A
GLI1	WNT10B
GLI2	WNT2
GLI2	WNT5A
GLI2	WNT10B
GLI3	WNT2
GLI3	WNT5A
GLI3	WNT10B
CREBBP	FLT1
CREBBP	ANGPT2
CREBBP	HK3
CREBBP	ANGPT4
CREBBP	VEGFA
EP300	FLT1
EP300	ANGPT2
EP300	HK3
EP300	ANGPT4
EP300	VEGFA
HIF1A	FLT1
HIF1A	ANGPT2
HIF1A	HK3
HIF1A	ANGPT4
HIF1A	VEGFA
ARNT	FLT1
ARNT	ANGPT2
ARNT	HK3
ARNT	ANGPT4
ARNT	VEGFA
SMAD4	ID1
CREB1	MITF
CREBBP	MITF
EP300	MITF
NFKB1	PLAU
NFKB1	CFLAR
RELA	PLAU
TP53	RRM2
NFKB1	VEGFA
RELA	VEGFA
STAT1	VEGFA
EPAS1	TGFA
EPAS1	VEGFA
ETS1	MMP2
ETS1	VEGFA
FOS	MMP2
FOS	VEGFA
HIF1A	TGFA
JUN	MMP2
JUN	VEGFA
MYC	MMP2
MYC	VEGFA
NFKB1	TRAF6
NFKB2	TRAF6
RELA	TRAF6
IRF7	IFNA4
IRF7	IFNA17
MYD88	IFNA4
MYD88	IFNA17
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
RARA	CRABP2
RARB	CRABP2
RARG	CRABP2
NFKB1	F8
CEBPA	FN1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
SMAD4	FSHB
CREB1	GH2
SP1	GH2
TFAP2A	GH2
USF2	GH2
CREB1	GSTP1
FOS	GSTP1
POU2F1	HIST2H2BE
CEBPA	ITGA2
SP1	ITGA2
TFAP2A	ITGA2
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
EGR1	PLAU
ETS1	PLAU
POU2F1	PLAU
RARA	PLAU
SP1	PLAU
RARA	S100A8
RARB	S100A8
RARG	S100A8
RARA	S100A9
RARB	S100A9
RARG	S100A9
ERG	VIM
ETV4	VIM
