NISCH	IRS1
IRS1	ESR1
ESR1	E2F1
E2F1	SP4
IRS1	GRB2
GRB2	RUVBL1
RUVBL1	LEF1
IRS1	UBC
UBC	DAZAP2
DAZAP2	TCF7
IRS1	APP
APP	FBLN1
FBLN1	TCF7L2
IRS1	AKT1
AKT1	CTNNB1
CTNNB1	TCF7L1
APP	TAF6
TAF6	YAP1
IRS1	INSR
INSR	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
APP	MYC
ESR1	SP1
IRS1	SIRT1
SIRT1	JUN
APP	MAPK7
MAPK7	ETS1
APP	HSPA8
HSPA8	POU2F1
IRS1	SOCS3
SOCS3	NFKB1
ESR1	RELA
IRS1	IGF1R
IGF1R	TP53
ESR1	STAT3
ESR1	SP3
GRB2	TSG101
TSG101	NFKB2
IRS1	PTK2
PTK2	STAT1
SIRT1	FOS
AKT1	CREB1
ESR1	MAPK1
APP	SNCA
SNCA	MAPK3
APP	MAPK8
MAPK8	ATF2
ESR1	HIF1A
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5A	BCL2L1
CREB1	PER1
CREB1	PER3
ARNTL	CRY1
ARNTL	CRY2
ARNTL	RORA
ARNTL	RORB
ARNTL	BHLHE41
CREBBP	VEGFB
HIF1A	TIMP1
ARNT	ENO1
YAP1	ID2
YAP1	ID4
YAP1	AXIN1
YAP1	NKD1
WWTR1	ITGB2
WWTR1	SERPINE1
TEAD1	BIRC5
TEAD4	AXIN2
STAT3	CCND2
STAT3	SOCS5
RELA	CCL4L1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
MAPK13	IL12B
MAPK13	IL18
MAPK13	IL23A
MAPK13	TNF
RELA	CEBPB
RELA	IL1A
RELA	IL18
RELA	IL23A
SP1	REL
TP53	CAV1
JUN	IVL
JUNB	IVL
SP1	TNF
SP3	TNF
SPI1	TNF
REL	TNFSF10
ETS1	TNNC1
FLI1	TNNC1
NFKB1	TNNC1
SMAD2	TNNC1
SMAD4	TNNC1
SP3	TNNC1
TFAP2A	TNPO1
