GABRA1	PRKCD
PRKCD	SP1
PRKCD	EP300
EP300	RXRA
PRKCD	APP
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
EP300	TP73
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	RXRA
SDCBP2	C1orf35
C1orf35	APP
SDCBP2	TIFA
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
ZCCHC10	PIN1
PIN1	TP73
PIN1	PPARG
GABRA4	APP
APP	MAPK8
MAPK8	SP1
APP	GSK3B
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
APP	KAT5
KAT5	TP73
APP	RFX5
RFX5	PPARG
CHRNA4	YWHAH
YWHAH	YWHAZ
YWHAZ	CTNNB1
CTNNB1	SP1
YWHAH	CBL
CBL	SRC
SRC	RXRA
YWHAH	YWHAG
YWHAG	AKAP13
YWHAZ	AJUBA
AJUBA	RXRG
YWHAH	ABL1
ABL1	TP73
CTNNB1	PPARG
CHRNA7	FYN
FYN	CTNNB1
FYN	BCL3
BCL3	RXRA
FYN	NR3C1
NR3C1	RXRB
FYN	GNB2L1
GNB2L1	TP73
GRIA2	GRIP1
GRIP1	CTNNB1
GRIA2	SDCBP
SDCBP	TRIM32
TRIM32	RXRA
GRIP1	PPARG
PPARG	RXRB
TRIM32	TP73
GRIK2	DLG1
DLG1	BTRC
BTRC	SP1
GRIK2	SDCBP
GRIK2	GRIP1
GABRB1	NOD1
NOD1	HSP90AA1
HSP90AA1	SP1
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NOD1	UBC
UBC	CUL1
NOD1	RNF34
RNF34	CDC20
CDC20	TP73
UBC	SFPQ
SFPQ	PPARG
GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
TRAK2	GSK3B
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
PRKAB2	GNB2L1
GSK3B	CTNNB1
GABRB3	MEOX2
MEOX2	RELA
RELA	SP1
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
MEOX2	KAT5
GABRB3	PRKCA
PRKCA	PPARG
GABRD	UBQLN1
UBQLN1	APP
UBQLN1	UBQLN4
UBQLN4	RXRA
UBQLN1	UBE3A
UBE3A	RARA
RARA	RXRG
GABRE	CUX1
CUX1	CCNA1
CCNA1	SP1
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
GABRE	GPAA1
GPAA1	PIN1
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	SP1
NEDD4	SRC
NEDD4	PPARG
GABARAP	TAX1BP1
TAX1BP1	ITCH
ITCH	TP73
SMAD2	CTGF
JUN	VEGFC
MYC	PGF
NFKB2	TRAF1
ATF6B	BCL2
ATF4	BCL2
PPARA	CYP4A11
PPARA	SCD
PPARD	ACADL
PPARG	CPT1B
PPARG	CD36
RXRA	CYP27A1
JUN	CYP11A1
