HPGDS	ARRDC3
ARRDC3	ITCH
ITCH	TP53
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRDC3	ADRB2
ADRB2	STAT3
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	YWHAQ
YWHAQ	YAP1
ARRB2	UBC
UBC	ATF6
ITCH	JUN
ARRB2	AKT1
AKT1	CREB1
MAPK1	STAT5A
ARRDC3	HGS
HGS	INSR
INSR	STAT5B
ARRB2	STAT1
STAT1	STAT2
ADRB2	STAT4
ARRB2	EEF1A1
EEF1A1	STAT6
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	ALYREF
ALYREF	LEF1
HGS	DAZAP2
DAZAP2	TCF7
DAZAP2	TCF7L2
DAZAP2	TCF7L1
ARRDC3	NEDD4
NEDD4	ERBB3
ERBB3	EGR1
JUN	CREB3
MAPK1	ATF2
ITCH	PTCH1
PTCH1	ATF6B
NFKBIA	ATF4
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ADRB2	PGRMC1
PGRMC1	CREB3L1
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	IGF1R
IGF1R	ESR1
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
ARRB2	XRCC6
XRCC6	POU2F1
ARRB2	CSNK2A1
CSNK2A1	ATF1
NEDD4	PPARG
GLI3	WNT4
GLI3	BMP2
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	VEGFB
HIF1A	HKDC1
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT4	SOCS2
STAT5B	SOCS1
RFX5	HLA-DMA
RFX5	HLA-DMB
E2F1	APAF1
USF1	APEX1
SP2	CCND1
SP3	CCND1
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
SP1	FOSL1
POU2F2	HLA-DRA
POU5F1	HMGB2
NFKB1	ICAM1
NFIC	JUN
RARB	JUN
POU2F2	MYC
EGR1	TFPI2
NFKB1	TFPI2
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
NFIC	VWF
POU2F1	VWF
SMAD4	ZFP36
