PCCB	LYPLA1
LYPLA1	APRT
APRT	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	RXRA
APP	AKAP13
AKAP13	RXRB
LYPLA1	DPYSL2
DPYSL2	CRMP1
CRMP1	CUL1
CUL1	RXRG
HLCS	SNX27
SNX27	INSR
INSR	SOCS3
SOCS3	NFKB1
SNX27	NTRK1
NTRK1	RELA
NTRK1	PML
PML	RXRA
INSR	STAT5A
STAT5A	PPARG
PPARG	RXRB
NTRK1	CUL1
MCCC2	HMGCL
HMGCL	HES1
HES1	STAT3
STAT3	NFKB1
HMGCL	RNF126
RNF126	UBE2D2
UBE2D2	RELA
HMGCL	ARL6IP1
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	RXRA
HMGCL	LSM12
LSM12	HSP82
HSP82	NR3C1
NR3C1	RXRB
NCOR2	RXRG
PC	KPNA4
KPNA4	CUL4B
CUL4B	NFKB1
KPNA4	TP53
TP53	RELA
KPNA4	APP
GSK3B	RXRA
TP53	NR4A1
NR4A1	RXRG
PCCA	PCCB
ACACA	BRCA1
BRCA1	EP300
EP300	NFKB1
BRCA1	RELA
EP300	RXRA
EP300	NR3C1
BRCA1	RPAP2
RPAP2	RXRG
CREB1	BCL2
CREB3L1	MCL1
PPARA	ACOX1
PPARD	UCP1
PPARG	UCP1
RXRA	ACSL3
RXRG	EHHADH
IRF7	IFNA8
