HTR1B	MDFI
MDFI	KAT5
KAT5	UBE2I
UBE2I	PPARA
MDFI	PIN1
PIN1	PPARG
KAT5	RELA
KAT5	TP53
MDFI	NR1H2
NR1H2	RXRA
NR1H2	RXRB
NR1H2	RXRG
KAT5	EP300
EP300	NFKB1
HTR1D	HTR1B
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	NCOA1
NCOA1	PPARA
GNAI3	XPO1
XPO1	PPARG
S1PR1	TRIP6
TRIP6	UBE2C
UBE2C	RELA
TRIP6	PTK2
PTK2	TP53
TRIP6	SRC
SRC	RXRA
HTR1A	HTR1D
TRIP6	AJUBA
AJUBA	RXRG
YWHAQ	E2F1
E2F1	NFKB1
GLI3	BMP2
STAT4	SOCS2
STAT5B	SOCS1
FOS	CDK4
NFKB1	TRAF5
FOXO3	RBL2
PPARD	CPT1B
RXRA	CYP7A1
TP53	APCS
USF1	APEX1
NFKB1	TFPI2
