SLC22A6	APP
APP	MAPK8
MAPK8	SPI1
MAPK8	STAT3
APP	MYC
MYC	TFAP2A
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
MAPK8	SP1
RELA	SP3
APP	MCM7
MCM7	HIF1A
MAPK8	JUN
APP	RFX5
RFX5	PPARG
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
APP	HDAC4
HDAC4	STAT1
PANX1	GNAS
GNAS	C1QBP
C1QBP	CEBPA
CEBPA	SPI1
GNAS	HLA-A
HLA-A	STAT3
GNAS	GIPC1
GIPC1	SH3BP4
SH3BP4	TFAP2A
C1QBP	NFKBIE
NFKBIE	NFKB1
GIPC1	OGT
OGT	RELA
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	SP3
GIPC1	MCM7
C1QBP	PRKD1
PRKD1	JUN
C1QBP	PRKCA
PRKCA	PPARG
RUVBL1	UBE2I
UBE2I	RXRA
RUVBL1	RARA
RARA	RXRB
RARA	RXRG
GNAS	GNB2
GNB2	STAT1
STAT3	PIM1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
TEAD1	BIRC2
TEAD1	AXIN2
TEAD3	GLI2
RBPJ	HES5
TP53	BAX
JUN	PGF
JUN	VEGFC
NFKB1	TRAF4
NFKB2	XIAP
NFKB2	TRAF1
RELA	MYB
CREB5	MCL1
PPARA	CYP4A11
PPARD	LPL
PPARD	ACOX3
PPARG	CPT1B
RXRA	EHHADH
NFYC	LOC100509457
NFYC	LOC101060835
RFXANK	HLA-DMB
RFXANK	HLA-DOA
USF1	APOC3
USF2	APOC3
CEBPB	IL4
TFAP2A	ITGA2
HIF1A	ITGB2
BCL6	NFKB1
