ADRA1B	AP2M1
AP2M1	CSNK2B
CSNK2B	MYC
AP2M1	AP1G1
AP1G1	JUN
AP2M1	HSPA8
HSPA8	POU2F1
CSNK2B	RXRA
AP2M1	SFPQ
SFPQ	NR3C1
NR3C1	RXRB
SFPQ	PPARG
PPARG	RXRG
AP2M1	BCR
BCR	TP53
AP2M1	CLTC
CLTC	EP300
EP300	MITF
EP300	ATF4
AP2M1	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARA
EEF1A1	RUVBL1
RUVBL1	LEF1
AP2M1	UBC
UBC	DAZAP2
DAZAP2	TCF7
EEF1A1	FUS
FUS	TCF7L2
AP2M1	CHD8
CHD8	CTNNB1
CTNNB1	TCF7L1
AP2M1	EPS15
EPS15	TFAP2A
EP300	NFKB1
HSPA8	RELA
SFPQ	SP1
BCR	RB1
RB1	E2F4
AP2M1	STX8
STX8	CREB3
EP300	CREB1
CREB3	CREB3L2
CSNK2B	PRKAB2
PRKAB2	CREB3L1
UBC	ATF6
AP2M1	RALBP1
RALBP1	AMOTL2
AMOTL2	YAP1
AP2M1	DVL2
DVL2	WWTR1
WWTR1	TEAD1
AP2M1	PER1
PER1	VPS52
VPS52	TEAD4
CLTC	PHB2
PHB2	TEAD3
AP2M1	SPTBN1
SPTBN1	SMAD3
AP2M1	ITSN1
ITSN1	SOS1
AP2M1	CRK
CRK	SOS2
EP300	HIF1A
AP2M1	APC
APC	CREBBP
EP300	MYB
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
ADRA1D	GOPC
GOPC	RELA
RELA	JUN
RELA	POU2F1
RELA	RXRA
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
ADRA1D	DTNA
DTNA	NMT1
NMT1	TP53
DTNA	ACTB
ACTB	EP300
RELA	ATF4
RELA	PPARA
ACTB	RUVBL1
ADRA1D	AMFR
AMFR	UBC
AMFR	PSMA3
PSMA3	TCF7L2
DTNA	NUP62
NUP62	CTNNB1
EP300	TFAP2A
RELA	NFKB1
NUP62	SP1
AMFR	TRIM28
TRIM28	E2F4
ABCA1	COPS5
COPS5	CREB3
AMFR	ATXN3
ATXN3	CREB1
GOPC	CCDC102B
CCDC102B	CEP19
CEP19	CREB3L2
GOPC	KPNA1
KPNA1	RUNX1T1
