HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	NPM1
NPM1	TFAP2A
ARRDC3	ITCH
ITCH	TP53
ARRB2	SFPQ
SFPQ	SP3
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
ITCH	JUN
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	AKT1
AKT1	CREB1
ARRB2	CSNK2A1
CSNK2A1	NFYA
ITCH	GRB2
GRB2	NFYB
ARRB2	GAPDH
GAPDH	NFYC
ARRDC3	HGS
HGS	APP
APP	RFX5
ARRB2	NCL
NCL	RFXAP
HGS	BSG
BSG	RFXANK
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	YWHAQ
YWHAQ	YAP1
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
JUN	GRIA2
CREBBP	EDN1
EP300	EDN1
HIF1A	EDN1
ARNT	EDN1
YAP1	ID4
YAP1	MYC
TP53	IGFBP3
CREB1	HLA-DMA
CREB1	HLA-DPB1
NFKB1	CEBPB
NFYA	HLA-DMA
NFYA	HLA-DPB1
NFYB	HLA-DMA
NFYB	HLA-DPB1
NFYC	HLA-DMA
NFYC	HLA-DPB1
RELA	CEBPB
RFX5	HLA-DMA
RFX5	HLA-DPB1
RFXAP	HLA-DMA
RFXAP	HLA-DPB1
RFXANK	HLA-DMA
RFXANK	HLA-DPB1
MYC	CSTB
JUN	GJA1
SP1	GJA1
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
MYC	MYC
JUN	MYC
NFKB1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
MYC	NRAS
CREB1	NRAS
JUN	NRAS
TFAP2A	NRAS
TP53	TYMS
