HMGCR	UBC
UBC	BRCA1
BRCA1	SP1
UBC	E2F1
E2F1	NFKB1
BRCA1	JUN
BRCA1	ETS1
UBC	UBA2
UBA2	ETV4
BRCA1	POU2F1
BRCA1	USF2
UBC	PSMA3
PSMA3	EGR1
BRCA1	RELA
UBC	ABL1
ABL1	FOS
BRCA1	MYC
ITGAL	ICAM1
ICAM1	NCL
NCL	SP1
ICAM1	RPS3
RPS3	NFKB1
ICAM1	CSNK2A1
CSNK2A1	JUN
ICAM1	EIF3E
EIF3E	NCOA3
NCOA3	ETS1
ICAM1	XRCC6
XRCC6	HTT
HTT	ETV4
XRCC6	POU2F1
ICAM1	XRCC5
XRCC5	BRCA1
ICAM1	HNRNPA1
HNRNPA1	NFATC1
NFATC1	EGR1
ICAM1	SNRPD3
SNRPD3	RELA
HNRNPA1	UBR1
UBR1	FOS
ICAM1	HNRNPD
HNRNPD	MYC
HDAC2	SP1
HDAC2	NFKBIA
NFKBIA	NFKB1
HDAC2	PML
PML	JUN
HDAC2	CREBBP
CREBBP	ETS1
PML	HTT
HDAC2	RELA
RELA	POU2F1
RELA	USF2
CREBBP	EGR1
PML	FOS
HDAC2	MYC
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
NFKB1	CCL4L2
NFKB1	PTGS2
RELA	TRAF2
RELB	CCL13
PIK3CA	AKT1
PIK3CG	AKT3
PIK3R1	AKT3
PIK3R3	AKT3
RBPJL	PTCRA
RFX5	HLA-DMA
RFX5	HLA-DMB
NFIC	ADA
SP1	ADA
SP3	CYP1A1
NFKB1	F3
AR	F9
USF1	IL6
NFKB2	IL8
ATF2	INS
NFKB1	IRF1
STAT3	IRF1
CEBPA	ITGA2
