DDC	RELA
RELA	SP1
RELA	JUN
RELA	CREBBP
RELA	EP300
RELA	HIF1A
EP300	ARNT
EP300	CREB1
RELA	NFKB1
RELA	TP53
RELA	POU2F1
POU2F1	SP4
RELA	SP3
EP300	ATF2
RELA	STAT3
STAT3	MAPK1
RELA	BRCA1
BRCA1	MAPK3
RELA	FOS
EP300	MYC
EP300	ETS1
RELA	NFKB2
EP300	TFAP2A
RELA	SMAD3
SMAD3	CEBPA
CREBBP	ELK1
RELA	ESR1
CREB1	NPY
ATF2	NPY
FOS	CCND1
JUN	CCND1
MYC	CCND1
ELK1	CCND1
CREBBP	ENO3
CREBBP	ALDOA
CREBBP	HK1
EP300	ENO3
EP300	ALDOA
EP300	HK1
HIF1A	ENO3
HIF1A	ALDOA
HIF1A	HK1
ARNT	ENO3
ARNT	ALDOA
ARNT	HK1
MAPK1	CDK4
MAPK1	CCND1
MAPK3	CDK4
MAPK3	CCND1
NFKB1	NFKBIA
RELA	NFKBIA
TP53	DDB2
TP53	IGFBP3
ETS1	CDK4
ETS1	CCND1
FOS	CDK4
JUN	CDK4
MYC	CDK4
NFKB1	CCND1
NFKB2	CCND1
RELA	CCND1
CEBPA	TWF2
CREB1	TWF2
ELK1	TWF2
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
CREB1	AQP3
NFKB1	B2M
ATF2	CCND1
CREB1	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
NFKB1	CTSB
RELA	CTSB
SP3	CTSB
CEBPA	GPX4
TFAP2A	GPX4
NFKB1	IER3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
CREB1	SLC9A1
SP1	SOD1
