ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	UBL4A
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	P4HB
P4HB	UCHL3
UCHL3	YAP1
UBL4A	NCL
NCL	SP1
IGFBP3	FN1
FN1	SMAD4
SMAD4	ATF2
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
UBL4A	HSP90AA1
HSP90AA1	PPARA
UBL4A	TXN
TXN	NFKB1
IGF1R	CSK
CSK	JUN
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
COL1A1	ITGB1
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
YAP1	TEAD1
ILK	TRIM27
TRIM27	TEAD4
UBL4A	PHB2
PHB2	TEAD3
COL1A1	RNH1
RNH1	SDCBP
SDCBP	FOXP2
FOXP2	SP4
IGF1R	ESR1
ESR1	SP3
UBL4A	C1QBP
C1QBP	CEBPA
UBL4A	KPNA2
KPNA2	RELA
FN1	RBL1
RBL1	E2F4
FN1	TRIB3
TRIB3	ATF4
TP53	ETS1
HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	ABL1
ABL1	CREB1
CBL	SMAD3
SMAD3	YAP1
CBL	CTNNB1
CTNNB1	SP1
SMAD3	ATF2
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
CBL	GRB2
GRB2	HSP90AA1
CBL	HSPA4
HSPA4	NFKB1
SMAD3	JUN
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
CTNNB1	SOX2
SOX2	TEAD1
GRB2	TRIM27
GRB2	AP4S1
AP4S1	TEAD3
CBL	YWHAQ
YWHAQ	E2F1
E2F1	SP4
GRB2	EP300
EP300	SP3
SMAD3	CEBPA
CBL	HSPA8
HSPA8	RELA
SMAD3	E2F4
SMAD3	SMAD4
EP300	ATF4
EP300	ETS1
TP53	GADD45B
STAT5A	BCL2L1
CREB1	PER1
CREB1	PER3
ARNTL	CRY1
ARNTL	CRY2
ARNTL	RORA
ARNTL	RORB
ARNTL	BHLHE41
TCF7L2	CCND1
TCF7L1	MYC
JUN	CXCL1
HIF1A	TIMP1
HIF1A	VEGFC
ARNT	ENO1
ARNT	PFKL
YAP1	ID2
YAP1	ID4
YAP1	AXIN1
YAP1	NKD1
WWTR1	ITGB2
WWTR1	SERPINE1
RELA	CCL4L1
RBPJL	HES5
RBPJ	HES1
TP53	RPRM
TP53	BAI1
EPAS1	TGFB1
ETS1	MMP1
ETS1	VEGFC
RELA	NOS2
CREB3	BCL2
FOXO3	CDKN1B
FOXO3	G6PC2
PPARA	ACSL3
PPARA	LPL
PPARA	ACSBG2
PPARD	CPT1A
PPARG	ACSL6
PPARG	PLIN1
RXRA	APOA5
RXRA	CYP4A11
NFYC	HLA-DQA2
MAPK8	IL23A
MAPK13	IL12B
MAPK13	IL18
RELA	CEBPB
RELA	IL1A
RELA	IL18
RELA	IL23A
RFXANK	HLA-DRB3
RFXANK	HLA-DRB4
TP53	ABCB1
NFKB1	CSF1
ETS1	CSF2
POU2F1	HIST2H2BE
POU2F2	HLA-DRA
POU5F1	HMGB2
NFKB1	ICAM1
STAT5A	IFNG
RARA	MIF
RARG	MIF
CEBPA	MMP11
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
TFAP2A	MT1A
SP3	TNF
REL	TNFSF10
ETS1	TNNC1
FLI1	TNNC1
NFKB1	TNNC1
SMAD2	TNNC1
SMAD4	TNNC1
SP3	TNNC1
TFAP2A	TNPO1
SMAD4	ZFP36
