ACHE	COL1A1
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
UBL4A	TXN
TXN	NFKB1
UBL4A	NPM1
NPM1	TFAP2A
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
IGF1R	ESR1
ESR1	SP3
COL1A1	ITGB1
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
UBL4A	KPNA2
KPNA2	RELA
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	P4HB
P4HB	VCP
VCP	NFKB2
IGFBP3	CD44
CD44	EP300
EP300	USF2
TP53	ETS1
TP53	ETS2
UBL4A	HNRNPK
HNRNPK	CEBPB
UBL4A	C1QBP
C1QBP	CEBPA
ITGB1	PRKCA
PRKCA	PPARG
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	SMN1
SMN1	RXRA
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
IGF1R	CSK
CSK	JUN
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	HSPA4
HSPA4	NFKB1
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	YWHAZ
YWHAZ	TP53
EP300	SP3
CTNNB1	BRCA1
BRCA1	FLI1
CBL	HSPA8
HSPA8	RELA
CBL	ABL1
ABL1	CREB1
GRB2	TSG101
TSG101	NFKB2
EP300	ETS1
EP300	ETS2
CBL	SMAD3
SMAD3	CEBPB
SMAD3	CEBPA
CTNNB1	PPARG
CTNNB1	LEF1
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
SMAD3	JUN
CBL	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
STAT4	SOCS5
STAT5A	CCND1
STAT5B	SOCS3
STAT6	MYC
PAX6	PDX1
CREBBP	MITF
TP53	SESN1
TP53	RRM2B
MYC	CKS1B
RELA	CCND1
CREB1	BCL2
PPARA	ACSL4
PPARA	ACOX1
PPARG	GK
PPARG	UCP1
MAPK14	IL1B
MAPK14	IL18
MYD88	IFNA1
MYD88	IFNA6
MAPK1	IL1B
MAPK1	IL6
MAPK1	IL12A
MAPK9	TNF
MAPK10	IL1A
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C3
PPARG	APOE
USF2	APOE
ATF4	ASNS
USF1	CCND1
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
POU2F1	CD79B
FLI1	IGFBP3
SP3	IGFBP3
CEBPB	IL1A
ATF1	IL1B
CEBPB	IL1B
CEBPA	IL5
TFAP2A	MT1A
REL	TNFSF10
FLI1	TNNC1
SMAD2	TNNC1
SP3	TNNC1
