SLC22A6	APP
APP	GSK3B
GSK3B	NFKB1
APP	MAPK8
MAPK8	JUN
MAPK8	SP1
APP	KAT5
KAT5	MYB
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	NFIC
APP	MCM7
MCM7	SP2
APP	EEF1D
EEF1D	RELA
RELA	EGR1
APP	HSPA8
HSPA8	POU2F1
PANX1	GNAS
GNAS	C1QBP
C1QBP	NFKBIE
NFKBIE	NFKB1
C1QBP	PRKD1
PRKD1	JUN
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	PAICS
PAICS	CHD3
CHD3	MYB
GNAS	RUVBL1
RUVBL1	ELAVL1
GNAS	GIPC1
GIPC1	MCM7
RUVBL1	CREBBP
CREBBP	EGR1
C1QBP	HSPA8
GIPC1	OGT
OGT	RELA
NFKB1	BCL2L1
RELA	BCL2L1
NFKB1	IL6
RELA	IL6
JUN	IL6
POU2F1	CD79A
EGR1	IL6
NFIC	IL6
JUN	MAT2A
MYB	MAT2A
NFKB1	MAT2A
SP1	MAT2A
SP2	MAT2A
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
