AKR1D1	SIRT1
SIRT1	RARA
SIRT1	RELA
RELA	USF2
SIRT1	STAT3
STAT3	SP1
SIRT1	HSP90AA1
HSP90AA1	ZBTB17
SIRT1	UBE2I
UBE2I	PIAS2
STAT3	NCOA1
NCOA1	RARB
SIRT1	TP53
RELA	POU2F1
STAT3	NFKB1
RELA	EGR1
RELA	SMAD3
SIRT1	ARRB2
ARRB2	XRCC6
XRCC6	POU2F2
SIRT1	PPARA
SIRT1	CREB1
SIRT1	ESR1
ESR1	CREBBP
STAT3	EP300
UBE2I	RXRA
PPARA	RXRB
PPARA	RXRG
RELA	REL
SIRT1	FOS
HSP90AA1	IRF3
STAT3	STAT1
TP53	ETS2
SMAD3	CDKN2B
ZBTB17	CDKN2B
NFKB1	CCL5
RELA	CCL5
FOS	MMP9
NFKB1	MMP9
RELA	MMP9
CREBBP	ENO1
EP300	ENO1
SMAD3	CTGF
NFKB1	PLAU
RELA	PLAU
TP53	ZMAT3
TP53	SIAH1
PIAS2	CDKN2B
PPARA	CPT2
RXRA	CPT2
RXRB	CPT2
RXRG	CPT2
EGR1	CCL5
CREBBP	CDKN2B
EP300	CDKN2B
SP1	CDKN2B
FOS	CCL5
IRF3	CXCL10
IRF3	CXCL11
STAT1	CXCL10
STAT1	CXCL11
CREB1	HLA-DRA
USF2	CEACAM6
RARA	CRABP2
RARB	CRABP2
SP1	CTGF
FOS	HLA-DRA
POU2F2	HLA-DRA
CREB1	IL2
EGR1	IL2
ETS2	IL2
NFKB1	IL2
POU2F1	IL2
POU2F2	IL2
REL	IL2
RELA	IL2
SP1	IL2
POU2F1	IL4
POU2F2	IL4
PPARA	MMP9
SMAD3	MMP9
SP1	MMP9
EGR1	PLAU
ETS2	PLAU
POU2F1	PLAU
RARA	PLAU
SP1	PLAU
SP1	TPI1
