ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	HSPA8
HSPA8	RELA
AP2M1	AP1G1
AP1G1	JUN
AP2M1	EPS15
EPS15	TFAP2A
EP300	RARA
AP2M1	IKZF1
IKZF1	NCOR2
NCOR2	RARB
NCOR2	RARG
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
EP300	CREB1
EP300	STAT1
AP2M1	CSNK2B
CSNK2B	MYC
EP300	FOS
EP300	ETS1
AP2M1	APC
APC	CREBBP
EP300	HIF1A
EP300	ARNT
EP300	STAT3
HSPA8	UBE3A
UBE3A	CEBPA
CSNK2B	RXRA
AP2M1	SFPQ
SFPQ	NR3C1
NR3C1	RXRB
SFPQ	PPARG
PPARG	RXRG
AP2M1	BCR
BCR	TP53
SFPQ	SP1
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
RELA	JUN
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
EP300	TFAP2A
DTNA	TJP1
TJP1	ACTN4
ACTN4	RARA
RELA	NCOR2
GOPC	TGFBR2
TGFBR2	HSP90AA1
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
GOPC	KPNA1
KPNA1	STAT1
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
RELA	FOS
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
RELA	HIF1A
RELA	STAT3
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
RELA	RXRA
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
DTNA	NMT1
NMT1	TP53
RELA	PPARG
DTNA	NUP62
NUP62	SP1
KCNH2	YWHAE
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	HSPA8
YWHAE	ABL1
ABL1	JUN
YWHAE	NPM1
NPM1	TFAP2A
UBE3A	RARA
KCNH2	HSP90AA1
HSP90AA1	PRKD2
PRKD2	RARB
YWHAE	LSR
LSR	RARG
ABL1	CREB1
YWHAE	XPO1
XPO1	STAT1
HSP90AA1	MYC
ABL1	FOS
HSPA8	TP53
TP53	ETS1
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	HIF1A
HSP90AA1	ARNT
HSP90AA1	STAT3
YWHAE	C1QBP
C1QBP	CEBPA
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
XPO1	PPARG
HSP90AA1	SP1
ADRA2A	UCHL1
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
GNAI2	ITCH
ITCH	JUN
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RARA
ITCH	SMAD2
SMAD2	RARB
AJUBA	RARG
UCHL1	HSP90AA1
UCHL1	TP53
TP53	CREB1
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT1
UCHL1	CDK4
CDK4	MYC
UCHL1	UBE2I
UBE2I	FOS
UBE2I	ETS1
UCHL1	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
MTOR	STAT3
CDK4	CEBPA
UBE2I	RXRA
GNAI2	MDFI
MDFI	NR1H2
AJUBA	RXRG
CTNNB1	PPARG
CTNNB1	SP1
ADRA2B	UCHL1
TP53	RELA
UBE2I	JUN
TP53	TFAP2A
UBE2I	NCOR2
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	ACY3
ACY3	RARG
UBE2I	STAT1
PPARG	RXRB
CREB3	NPY
TP53	GADD45A
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7L2	MYC
RBPJ	CR2
ATF6B	PCNA
MAPK9	SMAD4
CREBBP	ENO2
CREBBP	PFKFB2
EP300	ENO2
EP300	PFKFB2
HIF1A	ENO2
HIF1A	PFKFB2
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELA	CCL4
RELB	CCL13
RELB	CXCL12
PIK3CA	AKT1
PIK3R1	AKT3
PIK3R2	PDPK1
RBPJL	PTCRA
NFKB1	TRAF3
NFKB2	BIRC2
NFKB2	TRAF3
FOXO3	PCK2
ATF4	BCL2
CREB3L3	BCL2
PPARA	CYP8B1
PPARD	CPT1C
PPARD	ACADL
PPARD	UBC
PPARG	FABP4
RXRA	CPT2
RXRA	CYP27A1
RXRA	ACSL1
RXRB	MMP1
RXRG	EHHADH
IRF7	IFNA8
LEF1	ADA
E2F4	CAV1
SP1	CAV1
RELA	COL1A1
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
RELA	ICAM1
SPI1	ICAM1
MYC	ID2
ATF1	ID2
STAT4	IFNG
ETS2	IL2
NFKB1	IL2
SP1	IL2
NFKB1	IL2RA
REL	IL2RA
RELA	IL2RA
STAT1	IL2RA
STAT3	IL2RA
E2F1	MYB
FOS	NTS
POU2F1	TNF
PAX2	TP53
PAX8	TP53
STAT3	TRH
SMAD3	ZFP36
