AMY2A	IGF1R
IGF1R	APP
APP	MAPK8
MAPK8	PAX2
IGF1R	CSK
CSK	JUN
IGF1R	TP53
IGF1R	SOCS3
SOCS3	NFKB1
IGF1R	ESR1
APP	MAPK7
MAPK7	FOS
IGF1R	ARRB2
ARRB2	STAT1
IGF1R	EGFR
EGFR	HSP90AA1
HSP90AA1	NFIC
ESR1	HIF1A
TP53	EGR1
MAPK8	ELK4
APP	KAT5
KAT5	SRF
ESR1	TOP1
TOP1	ELK3
APP	AKAP13
AKAP13	PPARA
TP53	WT1
APP	MYC
TP53	CREB1
MAPK8	ATF2
GAA	HIVEP1
HIVEP1	MAPK8
GAA	STAT2
STAT2	EP300
EP300	JUN
EP300	TP53
EP300	NFKB1
EP300	ESR1
EP300	FOS
STAT2	STAT1
EP300	Cebpb
Cebpb	NFIC
EP300	HIF1A
EP300	EGR1
STAT2	CREBBP
CREBBP	SRF
GAA	GOT1
GOT1	RIC1
RIC1	TOP1
GOT1	UBE2H
UBE2H	RELA
RELA	PPARA
EP300	MYC
EP300	CREB1
EP300	ATF2
NR3C2	ATP1A3
NR3C2	ATP1B2
GLI3	PTCH1
TP53	CDKN1A
SOS1	CCND3
SOS2	SPRY3
MAPK3	CCND1
ETS1	CDK4
RXRB	OLR1
TFAP2A	ADRA1A
CREB1	ADRB2
EGR1	AKR1B1
SP1	ALB
SP1	ALDH3A1
SP1	ALDOA
USF1	HMOX1
CEBPB	HP
ATF4	HPGD
JUN	IVL
JUNB	IVL
ETS1	MMP3
ETS2	MMP3
ETV4	MMP3
FLI1	MMP3
FOS	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
ETV4	MMP9
FLI1	MMP9
PPARA	MMP9
E2F4	POLA
MYB	POLA
JUN	TFPI2
ETS1	TNF
