HMGCR	UBC
UBC	BRCA1
BRCA1	MYC
BRCA1	JUN
UBC	DAZAP2
DAZAP2	LEF1
DAZAP2	TCF7
UBC	PSMA3
PSMA3	TCF7L2
DAZAP2	TCF7L1
UBC	ABL1
ABL1	YAP1
BRCA1	NCOA1
NCOA1	TEAD1
UBC	TRIM27
TRIM27	TEAD4
UBC	E2F1
E2F1	TEAD3
UBC	NCOA6
NCOA6	RXRA
UBC	TSG101
TSG101	NR3C1
NR3C1	RXRB
UBC	CUL1
CUL1	RXRG
UBC	C1QBP
C1QBP	CEBPA
UBC	SUMO1
SUMO1	MYB
BRCA1	RELA
E2F1	NFKB1
UBC	CBL
CBL	SOS1
UBC	BIN1
BIN1	SOS2
UBC	HNRNPM
HNRNPM	STAT3
BRCA1	TFAP2A
UBC	DAP3
DAP3	PPARA
TP53	GADD45G
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
TCF7	BIRC5
HIF1A	TIMP1
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	ITGB2
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD4	AXIN1
TEAD3	CTGF
RBPJ	HES1
TP53	BAI1
EPAS1	SLC2A1
ETS1	CDK4
NFKB2	TRAF6
IRF8	IL12B
CREB1	BCL2
FOXO3	CDKN1B
PPARA	EHHADH
PPARA	APOA2
PPARA	ACOX1
PPARA	ACSBG2
PPARG	ACSL3
PPARG	PCK1
PPARG	UCP1
RXRA	APOA5
RXRA	ACADM
MYD88	IFNA8
NFKB1	IL23A
LEF1	FOSL1
RELA	FN1
ESR2	FOS
ETS2	FOS
FLI1	FOS
ETS2	FOSL1
JUND	FOSL1
PPARA	GADD45A
SP1	GJA1
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
POU2F1	HIST2H2BE
ETV4	TNF
REL	TNFSF10
ERG	TNNC1
FLI1	TNNC1
JUN	TNNC1
SMAD2	TNNC1
SMAD3	TNNC1
SP3	TNNC1
SP3	TNPO1
NFIC	VWF
